Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,Aw c Musahari Chaur Maharail 40,HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
2,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,DINABHADRI STHAN KE SAMEEP MAHADALIT TOL,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
3,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,RAHIKAN MADARSA KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
4,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,MAKTAB AND MASJID KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
5,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,BAJRANGBALI STHAN KE SAMEEP (TRANSFAR SE AGE),HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
6,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,SAMUDAYIK BHAVAN KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
7,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,S/M Janki Devi H/O Sr Devendar Mahto Badki Pokhra,HandPump,MLA QUOTA- JHANJHARPUR- 3(0005659071)
8,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,S/M Dayrani Devi H/O Sr Parijhan Saday God Mushari,HandPump,MLA QUOTA- JHANJHARPUR- 3(0005659071)
9,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
10,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,Masjdi Ke Pas,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
11,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
12,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,M.S Chanara Ganj,HandPump,SCHOOL T/W- JHANJHARPUR- 1(0006244951)
13,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,P.S Rahikan,HandPump,SCHOOL T/W- JHANJHARPUR-2(0006245045)
14,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,P.S Chanaura Goth,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
15,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,P.MAK Jhanjharpur,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
16,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,P.MAK Chanaura Goth,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
17,CHANAURAGANJ,CHANAURA GANJ,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004045164)
18,CHANAURAGANJ,CHANAURA GANJ,Shallow tubewell,Ground Water,Durga Than,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JH(0005820197)
