Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,NARUAR,BHAWANI PUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand tubewell Scheme(0004690569)
2,NARUAR,BHAWANI PUR,Shallow tubewell,Ground Water,School Me,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
3,NARUAR,BHAWANI PUR,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
4,NARUAR,BHAWANI PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563185)
5,NARUAR,BIEBALA TOL,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Hand tubewell Scheme(0004690569)
6,NARUAR,BIEBALA TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563186)
7,NARUAR,DUSADH TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Hand tubewell Scheme(0004690569)
8,NARUAR,DUSADH TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563187)
9,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,SHRADH STHAN KE SAMEEP KUMAR POKHAR,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
10,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,IDGAH KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
11,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,S/M Somani Devi H/O Sr Mahendar Saday Mushari,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
12,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,S/M Sita Devi Sr Buland Saday Mahadlit Tol,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
13,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,P.S Gadhiya,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
14,NARUAR,GODHIYAOI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975219)
15,NARUAR,GODHIYAOI,Shallow tubewell,Ground Water,Masjid,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JHANJHARPUR(0005820213)
16,NARUAR,KANHAULI TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975219)
17,NARUAR,KHATWE TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677967)
18,NARUAR,MALLAH TOL,Deep tubewell,Ground Water,Samudayik Asthan Me,HandPump,Hand tubewell Scheme(0004690569)
19,NARUAR,MALLAH TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563188)
20,NARUAR,MUKHIYA JEE TOL,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Hand tubewell Scheme(0004690569)
21,NARUAR,MUKHIYA JEE TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563189)
22,NARUAR,MUSAHARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975219)
23,NARUAR,NARUAR,Shallow tubewell,Ground Water,Anganw ari Kumar Pokhar Kendar No-134,HandPump,Angan Wari(0004945194)
24,NARUAR,NARUAR,Shallow tubewell,Ground Water,Anganw ari Kumar Pokhar Kendar No-134,HandPump,Angan Wari(0004945195)
25,NARUAR,NARUAR,Shallow tubewell,Ground Water,Aw c- 134,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
26,NARUAR,NARUAR,Shallow tubewell,Ground Water,Aw c- 134,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
27,NARUAR,NARUAR,Deep tubewell,Ground Water,Samudyik Asthn Me,HandPump,Hand tubewell Scheme(0004690569)
28,NARUAR,NARUAR,Shallow tubewell,Ground Water,BAJRANGBALI STHAN KE SAMEEP HAITHI,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
29,NARUAR,NARUAR,Shallow tubewell,Ground Water,KULPATI NATH MAHADEV STHAN KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
30,NARUAR,NARUAR,Shallow tubewell,Ground Water,KALI STHAN KE SAMEEP HADHIWALI,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
31,NARUAR,NARUAR,Shallow tubewell,Ground Water,S/M Samkhya Devi H/O Sr Fekan Sadan,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
32,NARUAR,NARUAR,Shallow tubewell,Ground Water,S/M Jahari Devi H/O Sr Janak Saday Amraha Mushari,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
33,NARUAR,NARUAR,Shallow tubewell,Ground Water,S/M Jibach Devi Duw ara Sr Anoop Ram,HandPump,MLA QUOTA- JHANJHARPUR- 5(0005659973)
34,NARUAR,NARUAR,Shallow tubewell,Ground Water,Dinanath Jha S/O Sru Purnanand Jha Ke Ghar Ke Pas Haythi,HandPump,MLC QOUTA JHANJHARPUR(0006388330)
35,NARUAR,NARUAR,Shallow tubewell,Ground Water,Bulan Saday,HandPump,NC/PC JHANJHARPUR(0006495982)
36,NARUAR,NARUAR,Shallow tubewell,Ground Water,Aanand Misra,HandPump,NC/PC JHANJHARPUR(0006495982)
37,NARUAR,NARUAR,Shallow tubewell,Ground Water,Dashrath Ray,HandPump,NC/PC JHANJHARPUR(0006495982)
38,NARUAR,NARUAR,Shallow tubewell,Ground Water,Mo Muslim,HandPump,NC/PC JHANJHARPUR(0006495982)
39,NARUAR,NARUAR,Shallow tubewell,Ground Water,Mo Samsul,HandPump,NC/PC JHANJHARPUR(0006495982)
40,NARUAR,NARUAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563190)
41,NARUAR,NARUAR,Shallow tubewell,Ground Water,P.S Islampur,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
42,NARUAR,NARUAR,Shallow tubewell,Ground Water,P.S Hainthi Bali,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
43,NARUAR,NARUAR,Shallow tubewell,Ground Water,U.M.S Naraur,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
