Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BALIA,BALIYA,Shallow tubewell,Ground Water,DURGA STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
2,BALIA,BALIYA,Shallow tubewell,Ground Water,BRHMANSTHAN KE SAMEEP KHAIRI,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
3,BALIA,BALIYA,Shallow tubewell,Ground Water,SHANIDEV STHAN KE SAMEEP NIRMALA,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
4,BALIA,BALIYA,Shallow tubewell,Ground Water,S/M Tilya Devi H/O Sr Nepal Saday Khairi Mushari,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
5,BALIA,BALIYA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC LAKHNAUR- 1(0005702709)
6,BALIA,BALIYA,Shallow tubewell,Ground Water,Shati Pasw an Ke Ghar Ke Pas,HandPump,NC/PC LAKHNAUR- 1(0005702602)
7,BALIA,BALIYA,Shallow tubewell,Ground Water,BULLAN SADY,HandPump,NC/PC(0006498345)
8,BALIA,BALIYA,Shallow tubewell,Ground Water,DULLI SADAY,HandPump,NC/PC(0006498345)
9,BALIA,BALIYA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Near Bulan Saday(0000684014)
10,BALIA,BALIYA,Deep tubewell,Ground Water,Road Side Me,HandPump,Near Gulle Saday(0000684018)
11,BALIA,BALIYA,Shallow tubewell,Ground Water,M.S Nirmala,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
12,BALIA,BALIYA,Shallow tubewell,Ground Water,M.S Baliya Girl,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
13,BALIA,BALIYA,Shallow tubewell,Ground Water,P.S Khairi Baliya,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
14,BALIA,BALIYA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Spot Source Scheme(0004738657)
15,BALIA,BALIYA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056291)
16,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Chandan Kumar Ke Ghar Ke Bagal Me,HandPump,Durga Mandir(0000046161)
17,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Mahadev Mandir(0000046154)
18,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAKHNAUR(0006535106)
19,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006535106)
20,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,MAHADEO MANDIR,HandPump,NC/PC(0006498345)
21,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,NEAR SUNIL KATHGHARA,HandPump,NC/PC(0006498345)
22,BALIA,BRAHMAN TOL,Shallow tubewell,Ground Water,DURGA ASTHAN,HandPump,NC/PC(0006498345)
23,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Shayam Ke Ghar Ke Bagal Me,HandPump,Near Of Gulli Sadai(0000046162)
24,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678309)
25,BALIA,BRAHMAN TOL,Deep tubewell,Ground Water,Akash Yadav Ke Ghar Ke Bagal Me,HandPump,Sunil Kataghara(0000046158)
