Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ADIT DIH,ADITYA DIH,Deep tubewell,Ground Water,Salim Ke Ghar Ke Pas,HandPump,Madhepur Spot Source Scheme(0004688942)
2,ADIT DIH,ADITYA DIH,Deep tubewell,Ground Water,Kalam Ke Ghar Ke Pas,HandPump,Md. Naiem(0000045194)
3,ADIT DIH,ADITYA DIH,Shallow tubewell,Ground Water,S/M Somani Devi H/O Sr Darshan Saday Mushari,HandPump,MLA QUOTA- MADHEPUR- 3(0005550397)
4,ADIT DIH,ADITYA DIH,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
5,ADIT DIH,ADITYA DIH,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
6,ADIT DIH,ADITYA DIH,Shallow tubewell,Ground Water,N.P.S Adityatol Pachahi,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
7,ADIT DIH,ADITYA DIH,Shallow tubewell,Ground Water,P.MAK Aditya Dih,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
8,PACHAHI,BARAI & KEYOURA TOL,Deep tubewell,Ground Water,Jakir Jalal Ke Ghar Ke Pas,HandPump,Madhepur Spot Source Scheme(0004688942)
9,PACHAHI,BARAI & KEYOURA TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEP R(0006541778) o
10,PACHAHI,BARAI & KEYOURA TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
11,PACHAHI,BARAI & KEYOURA TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563443)
12,PACHAHI,BRAHMAN TOL,Deep tubewell,Ground Water,Hari Yadav Ke Ghar Ke Pas,HandPump,Madhepur Spot Source Scheme(0004688942)
13,PACHAHI,BRAHMAN TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
14,PACHAHI,BRAHMAN TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
15,PACHAHI,BRAHMAN TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563444)
16,PACHAHI,CHAMAR TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563445)
17,PACHAHI,MALAH TOLA,Deep tubewell,Ground Water,Hakim Majhi Ke Ghar Ke Pas,HandPump,Madhepur Spot Source Scheme(0004688942)
18,PACHAHI,MALAH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563446)
19,PACHAHI,MIYAN TOL,Deep tubewell,Ground Water,Mahindra Jha Ke Ghar Ke Pas,HandPump,Madhepur Spot Source Scheme(0004688942)
20,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
21,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
22,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
23,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
24,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
25,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
26,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
27,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
28,PACHAHI,MIYAN TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 3(0005704966)
29,PACHAHI,MIYAN TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563447)
30,PACHAHI,MUSAHARI,Deep tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,Madhepur Spot Source Scheme(0004688942)
31,PACHAHI,MUSAHARI,Shallow tubewell,Ground Water,SMT.FULIYA DEVI,HandPump,MLA QUOTA- MADHEPUR(0005337163)
32,PACHAHI,MUSAHARI,Shallow tubewell,Ground Water,S/M Fulya Devi H/O Sr Domu Saday,HandPump,MLA QUOTA- MADHEPUR- 3(0005550397)
33,PACHAHI,MUSAHARI,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563448)
34,PACHAHI,MUSAHARI,Shallow tubewell,Ground Water,N.P.S Pachahi Mushari,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
35,PACHAHI,MUSAHARI,Shallow tubewell,Ground Water,MUSHARI,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHEPUR(0006682423)
36,PACHAHI,PACHAHI,Shallow tubewell,Ground Water,KAMLA GAHWAR KE SAMEEP,HandPump,MLA QOUTA-MADHEPUR (2013-14)(0006832516)
37,PACHAHI,PACHAHI,Shallow tubewell,Ground Water,BAJRANGBALI AND DIHWAR STHAN KE SAMEEP KUSHWAHA TOL,HandPump,MLA QOUTA-MADHEPUR (2013-14)(0006832516)
