Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,DURGA STHAN KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
2,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,SALHES STHAN KE SAMEEP PASWAN TOL,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
3,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,"S/M Rampari Devi , Duw ara Sr Gulatan Ram",HandPump,MLA QUOTA- JHANJHARPUR- 1(0005602818)
4,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,Kailu Pasw an Ke Ghar Ke Niket,HandPump,MLC QOUTA JHANJHARPUR(0006388330)
5,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,Durga Asthan Ke Prangan Me,HandPump,MLC QOUTA JHANJHARPUR(0006388330)
6,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,Ramji Saah,HandPump,NC/PC JHANJHARPUR(0006495982)
7,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,Ram Chandra Kamat,HandPump,NC/PC JHANJHARPUR(0006495982)
8,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,Madhav Kamti,HandPump,NC/PC JHANJHARPUR(0006495982)
9,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,U.M.S Kharrak,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
10,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,P.S Kharrakh Girl,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
11,KHARRAK,KHARARAK,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975199)
12,KHARRAK,KHARARAK,Shallow tubewell,Ground Water,MISHRA TOL,HandPump,SUSTABALE JHANJHARPUR(0006497263)
13,KHARRAK,LALGANJ,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Dahu Kamat / Ramji Kamat / Paw an / Gooran Ram /(0000044619)
14,KHARRAK,LALGANJ,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
15,KHARRAK,LALGANJ,Shallow tubewell,Ground Water,School Me,HandPump,NC/PC JHANJHARPUR- 1(0005700368)
16,KHARRAK,LALGANJ,Shallow tubewell,Ground Water,P.S Lalganj,HandPump,SCHOOL T/W- JHANJHARPUR- 2(0006245045)
17,KHARRAK,PAETGHAT,Deep tubewell,Ground Water,Mushari Me -2chapakal,HandPump,Spot Source(0001975199)
18,LOHNA,LOHANA,Shallow tubewell,Ground Water,BABA BIDESHWAR STHAN KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
19,LOHNA,LOHANA,Shallow tubewell,Ground Water,MAHADEV STHAN KE SAMEEP PAHI ANDHRI POKHRA,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
20,LOHNA,LOHANA,Shallow tubewell,Ground Water,SARBASIMA SADAY TOLE/SMT.BINDA DEVI,HandPump,MLA QUOTA JHANJHAR PUR(0005337085)
21,LOHNA,LOHANA,Shallow tubewell,Ground Water,S/M Manchi Devi H/O Sr Nathuni Saday,HandPump,MLA QUOTA- JHANJHARPUR- 1(0005602818)
22,LOHNA,LOHANA,Shallow tubewell,Ground Water,A,HandPump,NC/PC JHANJHARPUR(0006534780)
23,LOHNA,LOHANA,Shallow tubewell,Ground Water,A,HandPump,NC/PC JHANJHARPUR(0006538911)
24,LOHNA,LOHANA,Shallow tubewell,Ground Water,M.S Bhavnath Sarvasima,HandPump,SCHOOL T/W- JHANJHARPUR- 1(0006244951)
25,LOHNA,LOHANA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975158)
26,SARAB SIUEA,CHAMAR TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563180)
27,SARAB SIUEA,KEWAT TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC JHANJHARPUR(0006538911)
28,SARAB SIUEA,KEWAT TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC JHANJHARPUR(0006538911)
29,SARAB SIUEA,KEWAT TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563181)
30,SARAB SIUEA,PASWAN TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001975163)
31,SARAB SIUEA,SARAB SIUEA,Shallow tubewell,Ground Water,KALI STHAN AND VIVAH BHAVAN KE SAMEEP,HandPump,MLA QOUTA- JHANJHARPUR (2013-14) (0006818924)
32,SARAB SIUEA,SARAB SIUEA,Shallow tubewell,Ground Water,"S/M Kushesw ari Devi, Duw ara Sr Dukhan Dom",HandPump,MLA QUOTA- JHANJHARPUR- 1(0005602818)
33,SARAB SIUEA,SARAB SIUEA,Shallow tubewell,Ground Water,"S/M Fekani Devi , Duw ara Sr Kaplesw ar Ram",HandPump,MLA QUOTA- JHANJHARPUR- 1(0005602818)
34,SARAB SIUEA,SARAB SIUEA,Shallow tubewell,Ground Water,"S/M Binda Devi ,Duw ara Sr Buchhi Saday",HandPump,MLA QUOTA- JHANJHARPUR- 1(0005602818)
35,SARAB SIUEA,SARAB SIUEA,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563182)
36,SARAB SIUEA,SARAB SIUEA,Shallow tubewell,Ground Water,Sw asath Upkendra Ke North,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JHANJHARPUR(0005820213)
37,SARAB SIUEA,YADAV TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jhanjharpur Block,SPOT,Nc/Pc Scheme For Jhanjharpur Block(0004563183)
38,SARAB SIUEA,YADAV TOL,Shallow tubewell,Ground Water,Yadav Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD JHANJHARPUR(0005820213)
