Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELAUNCHA,BELA,Deep tubewell,Ground Water,Chow k Par Dukan Ke Pas,HandPump,Mahabir Mahto(0000046089)
2,BELAUNCHA,BELA,Shallow tubewell,Ground Water,SWASTHAY KENDRA KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
3,BELAUNCHA,BELA,Shallow tubewell,Ground Water,Sadak Ke Kinare,HandPump,NC/PC LAKHNAUR- 1(0005702709)
4,BELAUNCHA,BELA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC LAKHNAUR- 1(0005702709)
5,BELAUNCHA,BELA,Shallow tubewell,Ground Water,Rakesh Yadav,HandPump,NC/PC LAKHNAUR- 1(0005702602)
6,BELAUNCHA,BELA,Shallow tubewell,Ground Water,Md Habid,HandPump,NC/PC LAKHNAUR- 1(0005702602)
7,BELAUNCHA,BELA,Shallow tubewell,Ground Water,MAHABIR MAHTO,HandPump,NC/PC(0006498047)
8,BELAUNCHA,BELA,Shallow tubewell,Ground Water,P.S Bela,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
9,BELAUNCHA,BELA,Deep tubewell,Ground Water,Ahmad Nadaf,HandPump,Spot Source (HT) Scheme(0004690598)
10,BELAUNCHA,BELA,Shallow tubewell,Ground Water,Anoop Mahto,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
11,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,DENBHADRI STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
12,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,NEW MASJID KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
13,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,S/M Makiya Devi H/0 Sr Dunilal Ram,HandPump,MLA QUOTA- LAKHNAUR- 3(0005615142)
14,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Dinesh Thakur Ke Jamin Rasta Ke Bagal Me,HandPump,MLC QOUTA LAKHNAUR(0006388323)
15,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,MOJIM PAMARIYA,HandPump,NC/PC LAKHNAUR(0006496415)
16,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,MD NAZAM BULIYA,HandPump,NC/PC LAKHNAUR(0006496415)
17,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,PRAKAS RAM CHAUDHARY,HandPump,NC/PC LAKHNAUR(0006496415)
18,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Naresh Parsad Singh,HandPump,NC/PC LAKHNAUR(0006496415)
19,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Sinheshw ar Singh,HandPump,NC/PC LAKHNAUR(0006496415)
20,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Ramjanki Mandir,HandPump,NC/PC LAKHNAUR(0006496415)
21,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Ashok Kumar,HandPump,NC/PC LAKHNAUR(0006496415)
22,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,M.S Belauncha,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
23,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,U.M.S Deonagar Mahuli,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
24,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,P.S Pure Ramchandra,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
25,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,P.S Belauncha Harijan,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
26,BELAUNCHA,BELONCHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678276)
27,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Fudan Thakur,HandPump,Sr To T/Well(0005030737)
28,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Devu Mahto,HandPump,Sr To T/Well(0005030737)
29,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Ram Lakhan Ahto,HandPump,Sr To T/Well(0005030737)
30,BELAUNCHA,BELONCHA,Shallow tubewell,Ground Water,Chw ak Par,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
31,BELAUNCHA,BHAMKA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAKHNAUR(0006535106)
32,BELAUNCHA,BHAMKA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006535106)
33,BELAUNCHA,BHAMKA,Shallow tubewell,Ground Water,P.S Dhamakka,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
