Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DAIA KHAORWAR,DAIYA KHARBAR,Deep tubewell,Ground Water,Dilip Thakur Ke Ghar Ke Pas,HandPump,East Of Mushari(0000046176)
2,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,DURGA MANDIR KE SAMEEP HANUMAN CHOWK,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
3,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,S/M Parya Devi H/O Bhogi Saday Mushari,HandPump,MLA QUOTA- LAKHNAUR- 1(0005797817)
4,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,1S/M Bhikhani Devi H/O Sr Danik Lal Saday Mushari Purbi,HandPump,MLA QUOTA- LAKHNAUR- 1(0005797817)
5,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,Umesh Singh Ke Ghar Ke Bagal Me South Tol Satghariya,HandPump,MLC QOUTA LAKHNAUR(0006388323)
6,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,Dinesh Kumar Ke Ghar Ke Pas,HandPump,NC/PC LAKHNAUR- 2(0005702908)
7,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,Chow k Par,HandPump,NC/PC LAKHNAUR- 2(0005702908)
8,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,U.M.S Daiyakharw ar,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
9,DAIA KHAORWAR,DAIYA KHARBAR,Shallow tubewell,Ground Water,P.S Daiyakharw ar Brahmsthan,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
10,DAIA KHAORWAR,DAIYA KHARBAR,Deep tubewell,Ground Water,Akash Thakur Ke Ghar Ke Pas,HandPump,Spot Source (Ht) Scheme(0004690599)
11,DAIA KHAORWAR,HARIJAN TOL,Shallow tubewell,Ground Water,MUSAHARI EAST / SMT. VIKHANI DEVI,HandPump,MLA QUOTA- LAKHNAUR(0005337129)
12,DAIA KHAORWAR,HARIJAN TOL,Shallow tubewell,Ground Water,Kasim Ke Ghar Ke Pas,HandPump,NC/PC LAKHNAUR- 2(0005702908)
13,DAIA KHAORWAR,HARIJAN TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Lakhnaur Block,SPOT,Nc/Pc Scheme For Lakhnaur Block(0004563317)
14,DAIA KHAORWAR,HARIJAN TOL,Deep tubewell,Ground Water,Dilip Kumar Ke Ghar Ke Pas,HandPump,Spot Source (Ht) Scheme(0004690599)
15,DAIA KHAORWAR,KHATWE TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAKHNAUR(0006535106)
16,DAIA KHAORWAR,KHATWE TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006535106)
17,DAIA KHAORWAR,KHATWE TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006539819)
18,DAIA KHAORWAR,KHATWE TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678334)
19,DAIA KHAORWAR,NORTH TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAKHNAUR(0006535106)
20,DAIA KHAORWAR,NORTH TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006535106)
21,DAIA KHAORWAR,NORTH TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006539819)
22,DAIA KHAORWAR,NORTH TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678345)
23,GONGAPUR,BELHI,Shallow tubewell,Ground Water,DURGA STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
24,GONGAPUR,BELHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006539819)
25,GONGAPUR,BELHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974488)
26,GONGAPUR,BHALUAHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006539819)
27,GONGAPUR,BHALUAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678322)
28,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,MASJID KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
29,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,S/M Buchani Devi H/O Sr Ram Ji Ram Hanuman Chook,HandPump,MLA QUOTA- LAKHNAUR- 1(0005797817)
30,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,"S/M Koushalya Devi H/O Sr Ram Kisun Saday, Mushari",HandPump,MLA QUOTA- LAKHNAUR- 1(0005797817)
31,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,MUSHARI SARVJANIK ASTHAN,HandPump,NC/PC LAKHNAUR(0006496415)
32,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,MO SITE DEVI,HandPump,NC/PC LAKHNAUR(0006496415)
33,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,M.S Gangapur,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
34,GONGAPUR,GANGA PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974488)
35,GONGAPUR,GANGA PUR,Shallow tubewell,Ground Water,Mushari,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
36,GONGAPUR,HARIZAN TOL,Deep tubewell,Ground Water,Ram Lakhan Ke Ghar Ke Pas,HandPump,Chamar Tola(0000046172)
37,GONGAPUR,HARIZAN TOL,Deep tubewell,Ground Water,Sanjay Kumar Ke Ghar Ke Pas,HandPump,Mushhari Pipal Tree(0000684039)
38,GONGAPUR,HARIZAN TOL,Shallow tubewell,Ground Water,NEAR PIPAL TREE,HandPump,NC/PC(0006498345)
39,GONGAPUR,HARIZAN TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004055996)
40,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,"Aw c-99, East Tole",HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
41,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,BRHAMSTHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
42,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,MASJID KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
43,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,S/M Fulba Devi H/O Sr Jagdev Ram,HandPump,MLA QUOTA- LAKHNAUR- 1(0005797817)
44,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,GONAY PASWAN,HandPump,NC/PC LAKHNAUR(0006496415)
45,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,RAMSAWRUP MOCHI,HandPump,NC/PC LAKHNAUR(0006496415)
46,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,DANIK LAL YADAV,HandPump,NC/PC LAKHNAUR(0006496415)
47,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,SURENDRA PARSAD,HandPump,NC/PC LAKHNAUR(0006496415)
48,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,SHYAM THAKUR,HandPump,NC/PC LAKHNAUR(0006496415)
49,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,MO ISRAYAL,HandPump,NC/PC LAKHNAUR(0006496415)
50,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,PASWAN &Amp; CHAMAR TOL KE BICH,HandPump,NC/PC(0006498345)
51,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,RAMESH SINGH,HandPump,NC/PC(0006498345)
52,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,N.P.S Gunakarpur,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
53,GUNAKARPUR,GUNAKARPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974492)
54,GUNAKARPUR,GUNAKARPUR,Shallow tubewell,Ground Water,Harijan Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
