Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,L cation i,Type,Scheme Name
1,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,MAHADEV STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
2,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,"S/M Sukani Devi ,Duw ara Sr Kari Saday",HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
3,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Bathnaha Chow k Par,HandPump,NC/PC LAKHNAUR- 2(0005702908)
4,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,Sarvajanik Sthan,HandPump,NC/PC LAKHNAUR- 2(0005702908)
5,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,P.S.BATHNAHA,HandPump,NC/PC(0006498345)
6,KACHHWI,BATHNAHA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Parthmik Vidyal(0000046052)
7,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,P.S Batnaha,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
8,KACHHWI,BATHNAHA,Shallow tubewell,Ground Water,P.S Batnaha,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
9,KACHHWI,BATHNAHA,Deep tubewell,Ground Water,Anish Ahmad,HandPump,Spot Source (Ht) Scheme(0004690599)
10,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Devlal Chaudhary,HandPump,NC/PC LAKHNAUR(0006496415)
11,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006535106)
12,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,P.S Bishnupatti,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
13,KACHHWI,BISHAN PATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974174)
14,KACHHWI,BISHAN PATTI,Shallow tubewell,Ground Water,Mallah Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
15,KACHHWI,CHAMAR TOL,Deep tubewell,Ground Water,Sanjeev Kumar Ke Ghar Ke Pas,HandPump,Bachhalal Ram(0000046060)
16,KACHHWI,CHAMAR TOL,Shallow tubewell,Ground Water,BACHE LAL RAM,HandPump,NC/PC(0006498345)
17,KACHHWI,CHAMAR TOL,Deep tubewell,Ground Water,Chow k Par,HandPump,Spot Source (Ht) Scheme(0004690599)
18,KACHHWI,GODHIYARI,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAKHNAUR(0006539819)
19,KACHHWI,GODHIYARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974174)
20,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,DIHWAR STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
21,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,S/M Thakani Devi H/O Sr Jibach Mallik Dom Tol,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
22,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,S/M Kusuma Devi Sr Thakan Saday,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
23,KACHHWI,JAGDAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Lakhnaur Block,SPOT,Nc/Pc Scheme For Lakhnaur Block(0004563318)
24,KACHHWI,JAGDAR,Shallow tubewell,Ground Water,P.S Jagdar,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
25,KACHHWI,JAGDAR,Deep tubewell,Ground Water,Manish Yadav,HandPump,Spot Source (Ht) Scheme(0004690599)
26,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,BRHAMSTHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
27,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,MASJID KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
28,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,MAHADEV STHAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
29,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,S/M Lalita Devi Duw ara Sr Shivnandan Ram,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
30,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,S/M Chandarkala Devi Drw ara Sr Ram Naryan Uraf Nanku Saday,HandPump,MLA QUOTA- LAKHNAUR- 2(0005649996)
31,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,HAPPY YADAV KE GHAR KE BAGAL ME,HandPump,NC/PC LAKHNAUR- 2(0005702908)
32,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Bhgw an Lal Kamat,HandPump,NC/PC LAKHNAUR(0006496415)
33,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Hareram Pasw an,HandPump,NC/PC LAKHNAUR(0006496415)
34,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Jalebi Mukhya,HandPump,NC/PC LAKHNAUR(0006496415)
35,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Todhay Pasw an,HandPump,NC/PC LAKHNAUR(0006496415)
36,KACHHWI,KACHHUBI,Shallow tubewell,Ground Water,Tahir Mansuri,HandPump,NC/PC LAKHNAUR(0006496415)
37,KACHHWI,KACHHUBI,Deep tubewell,Ground Water,Nc/Pc Scheme For Lakhnaur Block,SPOT,Nc/Pc Scheme For Lakhnaur Block(0004563319)
