Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AMARUPI,AMMA RUPI,Deep tubewell,Ground Water,Sohan Jha Ke Ghar Ke Pas,HandPump,Madan Choudhary(0000046073)
2,AMARUPI,AMMA RUPI,Shallow tubewell,Ground Water,Amit Kumar Ke Ghar Ke Pas,HandPump,NC/PC LAKHNAUR- 2(0005702908)
3,AMARUPI,AMMA RUPI,Shallow tubewell,Ground Water,MADAN CHODHARY,HandPump,NC/PC(0006498345)
4,AMARUPI,AMMA RUPI,Shallow tubewell,Ground Water,U.M.S Amarupi,HandPump,SCHOOL T/W- LAKHNAUR- 2(0006233328)
5,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,S/M Dukhani Devi H/O Sr Ratan Ram,HandPump,MLA QUOTA- LAKHNAUR- 4(0005615307)
6,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,Kapleshw ar Yadav,HandPump,NC/PC LAKHNAUR(0006496415)
7,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,Umesh Yadav,HandPump,NC/PC LAKHNAUR(0006496415)
8,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,P.S Biharpur Mushari,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
9,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,P.S Biharpur,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
10,BIHARPUR,BIHAR PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974188)
11,BIHARPUR,BIHAR PUR,Shallow tubewell,Ground Water,Chw ak Par,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAKHNUR(0005820378)
12,MAIBI,MAIBI,Deep tubewell,Ground Water,Maibi Mini Pw ss Electric,PWS,Mini Pipe Water Sapply Scheme Electric(0004914724)
13,MAIBI,MAIBI,Shallow tubewell,Ground Water,MASJID KE SAMEEP EAST TOL,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
14,MAIBI,MAIBI,Shallow tubewell,Ground Water,TAPNESHWAR NATH MANDIR KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
15,MAIBI,MAIBI,Shallow tubewell,Ground Water,SAMUDAYIK BHAVAN KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
16,MAIBI,MAIBI,Shallow tubewell,Ground Water,AYODHI DAS,HandPump,NC/PC(0006498345)
17,MAIBI,MAIBI,Shallow tubewell,Ground Water,SHYAM MUKHIYA,HandPump,NC/PC(0006498345)
18,MAIBI,MAIBI,Shallow tubewell,Ground Water,N.P.S Lilkbath Biharpur,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
19,MAIBI,MAIBI,Shallow tubewell,Ground Water,P.S Kachhua Maibi,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
20,MAIBI,MAIBI,Shallow tubewell,Ground Water,P.S Behra Mushari,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
21,MAIBI,MAIBI,Deep tubewell,Ground Water,Chow k Par,HandPump,Spot Source (Ht) Scheme(0004690599)
22,MAIBI,MAIBI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Sri Ayodhi Das(0000046214)
23,MAIBI,MAIBI,Deep tubewell,Ground Water,Maibi Haar Par,HandPump,Sri Shyam Mukhiya(0000046212)
24,MAIBI,RAHI TOL,Deep tubewell,Ground Water,Salim Ahmad Ke Ghar Ke Ps,HandPump,Jaghgir Momine(0000046069)
25,MAIBI,RAHI TOL,Shallow tubewell,Ground Water,IDGAH KE SAMEEP,HandPump,MLA QOUTA- LAKHNAUR(2013-14) (0006819774)
26,MAIBI,RAHI TOL,Shallow tubewell,Ground Water,S/M Sanjha Devi H/O Sr Tunay Saday Ram Tol,HandPump,MLA QUOTA- LAKHNAUR- 4(0005615307)
27,MAIBI,RAHI TOL,Shallow tubewell,Ground Water,"S/M Fulo Devi ,Duw ara Sr Bilat Ram",HandPump,MLA QUOTA- LAKHNAUR- 4(0005615307)
28,MAIBI,RAHI TOL,Shallow tubewell,Ground Water,JAHANGIR MOMIN,HandPump,NC/PC(0006498345)
29,MAIBI,RAHI TOL,Shallow tubewell,Ground Water,10P.MAK Rahi Tol Maibi,HandPump,SCHOOL T/W- LAKHNAUR- 1(0006229956)
