Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARANTPUR,BHARAT PUR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC BASOPATTI(0005694817)
2,BARANTPUR,BHARAT PUR,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC BASOPATTI(0005694817)
3,BARANTPUR,BHARAT PUR,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC BASOPATTI(0005694817)
4,BARANTPUR,BHARAT PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001979537)
5,BARANTPUR,KORIYA PATTI,Shallow tubewell,Ground Water,C,HandPump,NC/PC BASOPATTI(0006534300)
6,BARANTPUR,KORIYA PATTI,Shallow tubewell,Ground Water,B,HandPump,NC/PC BASOPATTI(0006534300)
7,BARANTPUR,KORIYA PATTI,Shallow tubewell,Ground Water,A,HandPump,NC/PC BASOPATTI(0006534300)
8,BARANTPUR,KORIYA PATTI,Shallow tubewell,Ground Water,B,HandPump,NC/PC BASOPATTI(0006538918)
9,BARANTPUR,KORIYA PATTI,Shallow tubewell,Ground Water,A,HandPump,NC/PC BASOPATTI(0006538918)
10,BARANTPUR,KORIYA PATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043460)
11,BELAUNA,BEALONA,Shallow tubewell,Ground Water,Umesh Jha S/O Mant Jha Ghar Ke Niket,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
12,BELAUNA,BEALONA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BASOPATTI(0006534300)
13,BELAUNA,BEALONA,Shallow tubewell,Ground Water,M.S Belauna,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
14,BELAUNA,BEALONA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043480)
15,BELAUNA,NARAILA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Anand Mohan Jha(0000049149)
16,BELAUNA,NARAILA,Deep tubewell,Ground Water,Road Side Me,HandPump,Babubarhi Spot Source Scheme(0004739339)
17,BELAUNA,NARAILA,Deep tubewell,Ground Water,Road Side,HandPump,Ram Shresth Singh(0000049147)
18,BELAUNA,NARAILA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043529)
19,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,Road Side Me,HandPump,Bhola Baba Asthan(0000049157)
20,BHAIAPATTI,BHAIYAPATTI,Shallow tubewell,Ground Water,DEVCHANDRA DAS S/O MOHAN DAS GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
21,BHAIAPATTI,BHAIYAPATTI,Shallow tubewell,Ground Water,Ranjit Kumar Mishra S/O Shibchandra Misra Ghar Ke Niket,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
22,BHAIAPATTI,BHAIYAPATTI,Shallow tubewell,Ground Water,U.M.S. BHAIYAPATTI,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
23,BHAIAPATTI,BHAIYAPATTI,Shallow tubewell,Ground Water,N.P.S. NARAILA,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
24,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043542)
25,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,P.S. GOSNAGAR,HandPump,SPOT SOURCES(0002719710)
26,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,U.M.S. BHAIYAPATTI,HandPump,SPOT SOURCES(0002719714)
27,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,P.S. GOSNAGAR,HandPump,SPOT SOURCES(0002719719)
28,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,N.P.S. NARAILA,HandPump,SPOT SOURCES(0002719722)
29,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,N.P.S. NARAILA,HandPump,SPOT SOURCES(0002720530)
30,BHAIAPATTI,BHAIYAPATTI,Deep tubewell,Ground Water,N.P.S. GOSNAGAR,HandPump,SPOT SOURCES(0002720568)
31,BHAIAPATTI,BHAIYAPATTI,Shallow tubewell,Ground Water,Chaw k Par,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BASOPATTI(0005819863)
32,BHAIAPATTI,GOSNAGAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Babubarhi Spot Source Scheme(0004739339)
33,BHAIAPATTI,GOSNAGAR,Shallow tubewell,Ground Water,BIRENDRA KUMAR CHAUDHARY S/O RAMSARANAGAT CHAUDHARY GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
34,BHAIAPATTI,GOSNAGAR,Shallow tubewell,Ground Water,Radheshyam Choodhry S/O Met Khattar Choodhary Ghar Ke Niket,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
35,BHAIAPATTI,GOSNAGAR,Shallow tubewell,Ground Water,P.S Gausnagar Girl,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
36,BHAIAPATTI,GOSNAGAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004043552)
37,BHAIAPATTI,HATBARIYA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Bhogi Yadav(0000049123)
38,BHAIAPATTI,HATBARIYA,Shallow tubewell,Ground Water,PHUL JHA S/O JALANDHAR JHA GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
39,BHAIAPATTI,HATBARIYA,Deep tubewell,Ground Water,Road Side Me,HandPump,Mt.Janki(0000049120)
