Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KHAUNA,BARHA,Shallow tubewell,Ground Water,Vinod Pandey S/O Sr Rajnandan Pandey Ghar Ke Niket,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
2,KHAUNA,BARHA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BASOPATTI(0005694817)
3,KHAUNA,BARHA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC BASOPATTI(0005694817)
4,KHAUNA,BARHA,Shallow tubewell,Ground Water,P.S Baurha,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
5,KHAUNA,BARHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001969664)
6,KHAUNA,BARHA,Deep tubewell,Ground Water,P.MAK. BAIRHA,HandPump,SPOT SOURCES(0002719127)
7,KHAUNA,BIRTA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,ANGANWARDI T/W - BASOPATTI(0006356820)
8,KHAUNA,BIRTA,Deep tubewell,Ground Water,Road Side Me,HandPump,Basopatti Block Ht Scheme(0004666231)
9,KHAUNA,BIRTA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BASOPATTI(0006534300)
10,KHAUNA,BIRTA,Deep tubewell,Ground Water,Nc/Pc Scheme For Basopatti Block,SPOT,Nc/Pc Scheme For Basopatti Block(0004563098)
11,KHAUNA,GAMHARIYA,Shallow tubewell,Ground Water,LALBABU PANDAY GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
12,KHAUNA,GAMHARIYA,Shallow tubewell,Ground Water,B,HandPump,NC/PC BASOPATTI(0006538918)
13,KHAUNA,GAMHARIYA,Shallow tubewell,Ground Water,A,HandPump,NC/PC BASOPATTI(0006538918)
14,KHAUNA,GAMHARIYA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001969664)
15,KHAUNA,KAMLABIAR PATTI,Deep tubewell,Ground Water,Road Side Me,HandPump,Basopatti Block Ht Scheme(0004666231)
16,KHAUNA,KAMLABIAR PATTI,Shallow tubewell,Ground Water,Ajay Thakur S/O Sr Ramsw arup Thakur Ghar Ke Niket,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
17,KHAUNA,PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Basopatti Block,SPOT,Nc/Pc Scheme For Basopatti Block(0004563099)
18,KHAUNA,KHONA,Shallow tubewell,Ground Water,Aw c-130,HandPump,ANGANWARDI T/W - BASOPATTI(0006356820)
19,KHAUNA,KHONA,Shallow tubewell,Ground Water,Aw c-129,HandPump,ANGANWARDI T/W - BASOPATTI(0006356820)
20,KHAUNA,KHONA,Shallow tubewell,Ground Water,Aw c-128,HandPump,ANGANWARDI T/W - BASOPATTI(0006356820)
21,KHAUNA,KHONA,Deep tubewell,Ground Water,Road Side Me,HandPump,Basopatti Block Ht Scheme(0004666231)
22,KHAUNA,KHONA,Shallow tubewell,Ground Water,BRAHAMSTHAN PARISAR ME,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
23,KHAUNA,KHONA,Shallow tubewell,Ground Water,MAHADEV MANDIR PARISAR,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
24,KHAUNA,KHONA,Shallow tubewell,Ground Water,S.S.B CAMP SE PAHLE SWASTHAY UPKENDRA KE NIKET,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
25,KHAUNA,KHONA,Shallow tubewell,Ground Water,PASWAN TOLE/SHIV CHANDRA PASWAN,HandPump,MLA QUOTA- BASOPATTI(0005337335)
26,KHAUNA,KHONA,Shallow tubewell,Ground Water,Shivshankar Pasw an S/O Sr Jitan Pasw an Ghar Ke Niket Sadak Kinare Pasw an Tola,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
27,KHAUNA,KHONA,Shallow tubewell,Ground Water,P.S. MAJHAURA,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
28,KHAUNA,KHONA,Shallow tubewell,Ground Water,P.S GAMHARIYA,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
29,KHAUNA,KHONA,Shallow tubewell,Ground Water,P.MAK. KHAUNA,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
30,KHAUNA,KHONA,Shallow tubewell,Ground Water,N.P.S. LAUTHVA (SC),HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
31,KHAUNA,KHONA,Shallow tubewell,Ground Water,N.P.S. GAMHARYA TOL VIRTA,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
32,KHAUNA,KHONA,Shallow tubewell,Ground Water,M.S Khauna,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
33,KHAUNA,KHONA,Shallow tubewell,Ground Water,N.P.S Janki Nagar Sc Tol,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
