Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,INDARWA,AMA TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Hand Tubew ell Scheme(0004690569)
2,INDARWA,AMA TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Md.Nadir(0000047130)
3,INDARWA,AMA TOL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC JAYNAGAR- 2(0005699927)
4,INDARWA,GOTH INARWA,Shallow tubewell,Ground Water,Hanuman Mandir Parisar Chook Par,HandPump,MLA QUOTA-JAI NAGAR- 2(0005685112)
5,INDARWA,GOTH INARWA,Shallow tubewell,Ground Water,Salhesh Than Parisar,HandPump,MLA QUOTA-JAI NAGAR- 2(0005685112)
6,INDARWA,GOTH INARWA,Shallow tubewell,Ground Water,Soukhi Mandal S/O Sr Babu Lal Mandal Ghar Ke Samne,HandPump,MLA QUOTA-JAI NAGAR- 2(0005685112)
7,INDARWA,GOTH INARWA,Deep tubewell,Ground Water,Road Side Me,HandPump,Rajdeo Yadav(0000047124)
8,INDARWA,GOTH INARWA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Ram Udgar Yadav(0000047126)
9,INDARWA,GOTH INARWA,Shallow tubewell,Ground Water,P.S Inarw a Goth,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
10,INDARWA,GOTH INARWA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Shyam Pasw an(0000047122)
11,INDARWA,INARWA,Deep tubewell,Ground Water,N.P.S.PITHWATOL,HandPump,School Scheme For Jai Nagar(0005242716)
12,INDARWA,INARWA,Deep tubewell,Ground Water,N.P.S.BELA KACHHARI TOL,HandPump,School Scheme For Jai Nagar(0005242716)
13,INDARWA,INARWA,Shallow tubewell,Ground Water,M.S Inarw a,HandPump,SCHOOL T/W- JAINAGAR(0006559615)
14,INDARWA,INARWA,Shallow tubewell,Ground Water,M.S Inarw a,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
15,INDARWA,INARWA,Deep tubewell,Ground Water,N.P.S.BELA KACHHARI TOL,HandPump,SPOT SOURCES(0002720201)
16,INDARWA,INARWA,Deep tubewell,Ground Water,N.P.S.PITHWATOL,HandPump,SPOT SOURCES(0002720202)
17,INDARWA,INARWA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001977771)
18,INDARWA,INARWA,Shallow tubewell,Ground Water,Malhu Pasw an,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W JAYNAGAR(0006351993)
19,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
20,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
21,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,,PWS,Mini Pipe Water Sapply Scheme Electric(0004914739)
22,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,P.S.INARWA GOTH,HandPump,School Scheme For Jai Nagar(0005242716)
23,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,P.GIRLS MAK.DEVDHA,HandPump,School Scheme For Jai Nagar(0005242716)
24,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,M.S.DEODHA,HandPump,School Scheme For Jai Nagar(0005242716)
25,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002682604)
26,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,P.GIRLS MAK.DEVDHA,HandPump,SPOT SOURCES(0002720203)
27,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,P.S.INARWA GOTH,HandPump,SPOT SOURCES(0002720204)
28,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,P.S.INARWA GOTH,HandPump,SPOT SOURCES(0002720207)
29,USRAHI DEODHA,GOTH DEODHA,Deep tubewell,Ground Water,M.S.DEODHA,HandPump,SPOT SOURCES(0002721150)
30,USRAHI DEODHA,GOTH DEODHA,Shallow tubewell,Ground Water,Ajijur Rahman,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W JAYNAGAR(0006351993)
31,USRAHI DEODHA,GOTH DEODHA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W JAYNAGAR- 1(0006366751)
32,USRAHI DEODHA,MUSHARI,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Tubew ell Scheme(0004690569)
33,USRAHI DEODHA,MUSHARI,Deep tubewell,Ground Water,P.S.AKARNHA,HandPump,School Scheme For Jai Nagar(0005242716)
34,USRAHI DEODHA,MUSHARI,Deep tubewell,Ground Water,P.S.AKARNHA,HandPump,SPOT SOURCES(0002720220)
35,USRAHI DEODHA,MUSLIM TOL,Deep tubewell,Ground Water,Road Side Me,HandPump,Hand Tubew ell Scheme(0004690569)
36,USRAHI DEODHA,MUSLIM TOL,Shallow tubewell,Ground Water,C,HandPump,NC/PC JAINAGAR(0006538861)
37,USRAHI DEODHA,MUSLIM TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC JAINAGAR(0006538861)
38,USRAHI DEODHA,MUSLIM TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC JAINAGAR(0006538861)
39,USRAHI DEODHA,MUSLIM TOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Jainagar Block,SPOT,Nc/Pc Scheme For Jainagar Block(0004563158)
40,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,Aw c No. 47,HandPump,Anganw ari Jainagar Block(0005454753)
41,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC JAINAGAR(0006534747)
42,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,C,HandPump,NC/PC JAINAGAR(0006538861)
43,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC JAINAGAR(0006538861)
44,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC JAINAGAR(0006538861)
45,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,M.S Pithw a Tol,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
46,USRAHI DEODHA,PITHWA TOL,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 3(0007086586)
47,USRAHI DEODHA,PITHWA TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001977765)
48,USRAHI DEODHA,PITHWA TOL,Shallow tubewell,Ground Water,Sataynarayan Yadav,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W JAYNAGAR(0006351993)
49,USRAHI DEODHA,USRAHI,Deep tubewell,Ground Water,Road Side Me,HandPump,Md.Muslim(0000047135)
50,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,MAHENDRA YADAV S/O LATE LALJI YADAV GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA JAYNAGAR (2013-14)(0006782536)
51,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,RAM HIRDAY DAS S/O RABIDAS GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA JAYNAGAR (2013-14)(0006782536)
52,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,RAMASHISH MUKHIYA S/O GANGRAM MUKHIYA GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA JAYNAGAR (2013-14)(0006782536)
53,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,SHYAM KAMAT S/O JAGDISAH KAMAT PAN DUKAN KE SAMNE RAM JANKI CHOWK,HandPump,MLA QOUTA JAYNAGAR (2013-14)(0006782536)
54,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,Mo Kakulati Devi H/O Chotu Mukhya Ghar Ke Niket Akounha,HandPump,MLA QUOTA-JAI NAGAR- 2(0005685112)
55,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,Ashok Kumar Bharti S/O Kamesw ar Yadav Ghar Ke Niket,HandPump,MLA QUOTA-JAI NAGAR- 2(0005685112)
56,USRAHI DEODHA,USRAHI,Deep tubewell,Ground Water,Road Side Me,HandPump,Raj Kumar Yadav(0000047139)
57,USRAHI DEODHA,USRAHI,Deep tubewell,Ground Water,Sadak Ke Pas,HandPump,Saroj Gohiw al(0000047145)
58,USRAHI DEODHA,USRAHI,Shallow tubewell,Ground Water,N.P.S Ama Tol Usrahi,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
59,USRAHI DEODHA,USRAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001977765)
60,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,Aw c No. 41,HandPump,Anganw ari Jainagar Block(0005454753)
61,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,Aw c No. 44,HandPump,Anganw ari Jainagar Block(0005454753)
62,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,Aw c No. 48,HandPump,Anganw ari Jainagar Block(0005454753)
63,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,KAMAL SAH S/O LATE GOSAY SAH GHAR KE SAMNE SADAK KINARE SHANTINAGAR WARD NO-12,HandPump,MLA QOUTA JAYNAGAR (2013-14)(0006782536)
64,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,Rambabu Ke Ghar Ke Niket,HandPump,MLC QOUTA JAYNAGAR(0006388395)
65,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,Arun Mahto S/O Sr Rambrijh Mahto Ghar Ke Pas,HandPump,MLC QOUTA JAYNAGAR(0006388395)
66,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,B,HandPump,NC/PC JAINAGAR(0006534747)
67,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,A,HandPump,NC/PC JAINAGAR(0006534747)
68,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,P.S.BHISATOL,HandPump,School Scheme For Jai Nagar(0005242716)
69,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.GANDHI TOL DEWDHA SOUTH,HandPump,School Scheme For Jai Nagar(0005242716)
70,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.BELA BANRAIT TOL,HandPump,School Scheme For Jai Nagar(0005242716)
71,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.AMMATOL,HandPump,School Scheme For Jai Nagar(0005242716)
72,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.UCHHAL TOL,HandPump,School Scheme For Jai Nagar(0005242716)
73,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.PITHWATOL,HandPump,School Scheme For Jai Nagar(0005242716)
74,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.INARWA,HandPump,School Scheme For Jai Nagar(0005242716)
75,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,M.S Jainagar Girl,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
76,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,M.S Devdha,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
77,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,N.P.S Pithw a Tol,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
78,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,N.P.S Gandhi Tol Dew dha South,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
79,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,N.P.S Dew dha Gobraho Tol,HandPump,SCHOOL T/W- JAYNAGAR- 1(0006243221)
80,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,P.S Bhadaur,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
81,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,P.S Akaunha,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
82,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,P.S Asuchit Rigion Jingar,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
83,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,P.MAK Jainagar,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
84,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,P.MAK Deodha Girl,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
85,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,U.M.S Devdha,HandPump,SCHOOL T/W- JAYNAGAR- 2(0006243444)
86,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,(Non Mandatory,HandPump,Spot Source(0002683125)
87,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,P.S.BHISATOL,HandPump,SPOT SOURCES(0002720221)
88,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.INARWA,HandPump,SPOT SOURCES(0002720222)
89,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.GANDHI TOL DEWDHA SOUTH,HandPump,SPOT SOURCES(0002720223)
90,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.PITHWATOL,HandPump,SPOT SOURCES(0002720298)
91,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,M.S.UCHHAL TOL,HandPump,SPOT SOURCES(0002720299)
92,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.AMMATOL,HandPump,SPOT SOURCES(0002720302)
93,USRAHI DEODHA,USRAHI DEODHA,Deep tubewell,Ground Water,N.P.S.BELA BANRAIT TOL,HandPump,SPOT SOURCES(0002720303)
94,USRAHI DEODHA,USRAHI DEODHA,Shallow tubewell,Ground Water,M.S Urdu,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W JAYNAGAR(0006351993)
