Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,SIRIAPUR,SIMHA,Shallow tubewell,Ground Water,Anganw ari Kendar Parisar Simha Tol,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
2,SIRIAPUR,SIMHA,Shallow tubewell,Ground Water,P.S Simah Tol,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
3,SIRIAPUR,SIMHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001970090)
4,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,SRI BHAGWAT THAKUR S/O LATE NAINA LAL THAKUR GHAR KE SAMNE SADAK KINARE,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
5,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,UTKARMIT UCHAY SCHOOL PARISAR ME GOSNAGAR,HandPump,MLA QOUTA- BASOPATTI (2013-14) (0006782671)
6,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,Sanjay Kumar Thakur S/O Sr Ram Ekbal Thakur Ambedkar Chook,HandPump,MLA QUOTA- BASOPATTI- 1(0005675448)
7,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,P.S. BHAGWANPUR,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
8,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,P.MAK.SRIYAPUR,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
9,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,M.S Guasnagar,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
10,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,P.S Naraila,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
11,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,N.P.S Ghos Nagar Sc Tol,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
12,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,M.S SIRIYAPUR,HandPump,SCHOOL T/W- BASOPATTI- 1(0006173164)
13,SIRIAPUR,SIRIYAPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001970090)
14,SIRIAPUR,SIRIYAPUR,Deep tubewell,Ground Water,M.S Guasnagar,HandPump,Spot Source(0002717128)
15,SIRIAPUR,SIRIYAPUR,Deep tubewell,Ground Water,P.MAK.SRIYAPUR,HandPump,SPOT SOURCES(0002719730)
16,SIRIAPUR,SIRIYAPUR,Deep tubewell,Ground Water,P.S. BHAGWANPUR,HandPump,SPOT SOURCES(0002719738)
17,SIRIAPUR,SIRIYAPUR,Shallow tubewell,Ground Water,Chamar Tol Road Kinare,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD BASOPATTI(0005819863)
