"SL.No.","GP Name","Total Detail Entered (With & Without Toilet) BLS-2012","BPL (2012)","Identified(APL, 2012)","UnIdentified (APL, 2012)","Total (UnIdentified  Identified, APL, 2012)","Total (BPLò�)","Total HH Identified","No.of HH entered by name [2013-14]","No. of Households covered 2014-2015 (including unapproved)","Total No. of Households Covered after Survey 2012","No.of HH reported by name [2015-16]"
1,"BARHI ",3347,1958,1049,0,1049,3007,3007,0,8,8,9
2,"BELHI WEST ",4439,2470,1447,9,1456,3926,3917,0,12,12,5
3,"BELHI EAST ",0,0,0,0,0,0,0,0,0,0,0
4,"BELHI SOUTH ",0,0,0,0,0,0,0,0,0,0,0
5,"BERA ",1908,1199,513,0,513,1712,1712,0,0,0,1
6,"DEODHA MIDDLE ",2216,1124,868,0,868,1992,1992,0,9,9,18
7,"DEODHA NORTH ",2730,1005,1452,2,1454,2459,2457,0,4,4,6
8,"DEODHA SOUTH ",2382,1083,1060,0,1060,2143,2143,0,3,3,0
9,"DORBAR ",3094,1833,944,0,944,2777,2777,0,0,0,6
10,"DULIPATTI ",2286,1163,892,0,892,2055,2055,0,111,111,102
11,"JAINAGAR BASTI ",1697,1521,0,0,0,1521,1521,0,0,0,7
12,"KORAHIA ",2131,1588,320,0,320,1908,1908,0,10,10,26
13,"PARWA BELHI ",3160,1473,1369,0,1369,2842,2842,0,6,6,7
14,"RAJAULI ",2420,1477,696,0,696,2173,2173,0,0,0,3
15,"SELRA ",3125,1319,1493,0,1493,2812,2812,0,2,2,9
