Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,EKHATHA,DHUMIA TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Jainagar Spot Source Scheme(0004740607)
2,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Roshan Jha Ghar Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
3,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC LAUKAHA-1(0005703100)
4,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
5,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
6,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Nasib Husain Ghar Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
7,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Shyam Sharma Ghar Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
8,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Sohan Jha Ke Pas,HandPump,NC/PC LAUKAHA-1(0005703100)
9,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC LAUKAHA-1(0005703100)
10,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,MD JIBRIL,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
11,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,MD KAUNAIN,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
12,EKHATHA,DHUMIA TOL,Shallow tubewell,Ground Water,SAMAN ARA,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
13,EKHATHA,DHUMIA TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086652)
14,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Jaso Pasw an Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
15,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Mastik Ansari S/O Enul Hak Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
16,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Sahmad Mansuri S/O Manjur Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
17,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Mo Chunnu S/O Jahur Sedh Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
18,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Abdhesh Pal S/O Rameshw ar Pal Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
19,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Sahdev Lal S/O Sundar Lal Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
20,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Soman Pasw an S/O Chankun Pasw an Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
21,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Bhuri Lal Sah S/O Ramprit Sah Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
22,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Atikur Rahmans/O Motiur Rahman Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
23,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,Mustak Sah S/O Guljar Sah Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
24,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAUKAHA(0006535192)
25,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006535192)
26,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,P.MAK Idgahtol,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
27,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,P.MAK Ekhattha West,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
28,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,P.MAK Ekhattha Girl,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
29,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,U.M.S Barbona,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
30,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,P.S Ekhathha Harijan,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
31,EKHATHA,EKAHALLIA,Shallow tubewell,Ground Water,M.S Ekhattha,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
32,EKHATHA,EKAHALLIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977052)
33,EKHATHA,EKAHALLIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977052)
