Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KARMEGH,BELHA,Shallow tubewell,Ground Water,Jagdev Ram S/O Dhanvir Ram Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
2,KARMEGH,BELHA,Shallow tubewell,Ground Water,P.S Belha,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
3,KARMEGH,BELHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002685059)
4,KARMEGH,BHOLAPUR,Shallow tubewell,Ground Water,Yogendra Mahto S/O Kapildev Mahto Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
5,KARMEGH,BHOLAPUR,Shallow tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,NC/PC LAUKAHA- 1(0005703100)
6,KARMEGH,BHOLAPUR,Shallow tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,NC/PC LAUKAHA- 1(0005703100)
7,KARMEGH,BHOLAPUR,Shallow tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,NC/PC LAUKAHA- 1(0005703100)
8,KARMEGH,BHOLAPUR,Shallow tubewell,Ground Water,P.S Bholapur,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
9,KARMEGH,BHOLAPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977090)
10,KARMEGH,DHAMUSI SHARSIMA,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563349)
11,KARMEGH,DHAMUSI SHARSIMA,Deep tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,Spot Source (Ht) Scheme(0004690599)
12,KARMEGH,DUBARBANNA,Shallow tubewell,Ground Water,Satay Narayan Bhindw ar S/O Gosay Bhindw ar Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
13,KARMEGH,DUBARBANNA,Shallow tubewell,Ground Water,Mo Gulab S/O Mo Musharu Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
14,KARMEGH,DUBARBANNA,Shallow tubewell,Ground Water,Ful Kumar Sah S/O Met Jagesw ar Sah Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 3(0005819355)
15,KARMEGH,DUB RBANNA H,Shallow tubewell,Ground Water,Mahendar Mahto S/O Met Raghunandan Mahto Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 3(0005819355)
16,KARMEGH,DUBARBANNA,Shallow tubewell,Ground Water,N.P.S Dubarbauna,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
17,KARMEGH,DUBARBANNA,Shallow tubewell,Ground Water,P.MAK Dubarbona,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
18,KARMEGH,DUBARBANNA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086748)
19,KARMEGH,DUBARBANNA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086749)
20,KARMEGH,KARMEGH,Deep tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,Jainagar Spot Source Scheme(0004740607)
21,KARMEGH,KARMEGH,Shallow tubewell,Ground Water,Kali Mandir Ke Niket Mehese,HandPump,MLC QOUTA KHUTAUNA(0006388219)
22,KARMEGH,KARMEGH,Shallow tubewell,Ground Water,NCPC Scheme For Laukaha Block,HandPump,NC/PC LAUKAHA- 1(0005703100)
23,KARMEGH,KARMEGH,Shallow tubewell,Ground Water,P.S Gadhiya Mushari,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
24,KARMEGH,KARMEGH,Shallow tubewell,Ground Water,N.P.S Mushari East Tol,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
25,KARMEGH,KARMEGH,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086761)
26,KARMEGH,KARMEGH,Shallow tubewell,Ground Water,Gulteni Mandal Gadhiya,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
27,KARMEGH,KOLHATA,Shallow tubewell,Ground Water,Omparkash Saday S/O Raghu Saday Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 3(0005819355)
28,KARMEGH,KOLHATA,Shallow tubewell,Ground Water,P.S Kolhattha,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
29,KARMEGH,KOLHATA,Shallow tubewell,Ground Water,N.P.S Mushari Kolhatta,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
30,KARMEGH,KOLHATA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977090)
31,KARMEGH,KOLHATA,Shallow tubewell,Ground Water,MUSHARI,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
32,KARMEGH,MALIN,Shallow tubewell,Ground Water,150,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
33,KARMEGH,MALIN,Shallow tubewell,Ground Water,Brij Lal Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
34,KARMEGH,MALIN,Shallow tubewell,Ground Water,Vinod Sah S/O Raj Narayan Sah Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 3(0005819355)
35,KARMEGH,MALIN,Shallow tubewell,Ground Water,P.S Malin Belha,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
36,KARMEGH,MALIN,Shallow tubewell,Ground Water,M.S Malin Velha,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
37,KARMEGH,MALIN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977090)
38,KARMEGH,MALIN,Shallow tubewell,Ground Water,P.S Malin,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
39,KARMEGH,MALIN,Shallow tubewell,Ground Water,CHAMAR TOL,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
40,KARMEGH,MANSA PUR,Shallow tubewell,Ground Water,Surait Sahani S/O Shibu Sahani Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 3(0005819355)
41,KARMEGH,MANSA PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006535192)
42,KARMEGH,MANSA PUR,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme 3(0007086586)
