Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,Bagha West Masjid Par Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
2,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,Masjid Ke Pas Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
3,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC LAUKAHA-1(0005703100)
4,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC LAUKAHA-1(0005703100)
5,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,MD AHMAD HUSSAIN,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
6,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,MD USMAN,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
7,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,SIRAJ AHMAD,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
8,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,SADRUL HAQ,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
9,BAGHA KUSMAR,BAGHA,Shallow tubewell,Ground Water,P.MAK Bagha Girl,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
10,BAGHA KUSMAR,BAGHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977116)
11,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Aw c-66,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
12,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Aw c-53,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
13,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Aw c-52,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
14,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Indar Kant Sah S/O Ramavtar Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
15,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Parmeshw ar Ray S/O Bahadur Ram Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA-KHUTAUNA- 1(0006286403)
16,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Jhameli Saday S/O Shivji Saday Ghar Ke Pas Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
17,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Jogendar Sah Ghar Ke Pas Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
18,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Kupul Dev Sah Ghar Ke Pas Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
19,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006535192)
20,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,N.P.S Beldari Tol,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
21,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,Aw c No. 106,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
22,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,P.S Bagha Kusmar,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
23,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,P.MAK Bagha Kusmar,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
24,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,P.MAK Chaudharuy Tola Kusmar,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
25,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,N.P.S Sekh Toli,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
26,BAGHA KUSMAR,BAGHA KUSMAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977116)
27,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,M.S,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
28,BAGHA KUSMAR,BAGHA KUSMAR,Shallow tubewell,Ground Water,MD RASHUL SHEKH TOL,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
29,BAGHA KUSMAR,BARAGHAT,Shallow tubewell,Ground Water,Ravi Mandal S/O Saguni Mandal Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 4(0005819513)
30,BAGHA KUSMAR,BARAGHAT,Shallow tubewell,Ground Water,KAMAL MANDAL,HandPump,NCPC KHTAUNA/LAUKAHA(0006500856)
