Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,LATAUNHA,LATAUNHA,Shallow tubewell,Ground Water,Shiv Nath Kamat S/O Kapleshw ar Kamat Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
2,LATAUNHA,LATAUNHA,Shallow tubewell,Ground Water,N.P.S Lautnaha,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
3,LATAUNHA,LATAUNHA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004086853)
4,LATAUNHA,LATAUNHA,Shallow tubewell,Ground Water,Rasdev Ray,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
5,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Aw c-79,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
6,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Jon Mohmmad S/O Oli Mohmmad Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
7,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Ratan Kushbaha S/O Gulabchand Mahto Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA- LAUKAHA- 1(0005818976)
8,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Baleba Manal Ghar Ke Pas,HandPump,NC/PC LAUKAHA- 2(0005703356)
9,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Harinandan Sah Ghar Ke Pas,HandPump,NC/PC LAUKAHA- 2(0005703356)
10,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,School Ke Pas,HandPump,NC/PC LAUKAHA- 2(0005703356)
11,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Sarvjanik Asthan,HandPump,NC/PC LAUKAHA- 2(0005703356)
12,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Bhagw ati Asthal Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
13,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Chaw k Par,HandPump,NC/PC LAUKAHA- 2(0005703356)
14,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
15,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Srikant Mandl Ghar Ke Pas,HandPump,NC/PC LAUKAHA- 2(0005703356)
16,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Road Side Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
17,MUNHARA LALMANIA,GHOR MOHAMA,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563353)
18,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,U.M.S Maktab Ghormohna,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
19,MUNHARA LALMANIA,GHOR MOHAMA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690599)
20,MUNHARA LALMANIA,GHOR MOHAMA,Shallow tubewell,Ground Water,Kari Ram,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD LAUKHA(0005819686)
21,MUNHARA LALMANIA,MUNGRAO,Shallow tubewell,Ground Water,Fochay Ram S/O Met Ram Sundar Ram Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA- LAUKAHA- 1(0005818976)
22,MUNHARA LALMANIA,MUNGRAO,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAUKAHA(0006535192)
23,MUNHARA LALMANIA,MUNGRAO,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006535192)
24,MUNHARA LALMANIA,MUNGRAO,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006539931)
25,MUNHARA LALMANIA,MUNGRAO,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563354)
26,MUNHARA LALMANIA,MUNHARA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006535192)
27,MUNHARA LALMANIA,MUNHARA,Shallow tubewell,Ground Water,B,HandPump,NC/PC LAUKAHA(0006539931)
28,MUNHARA LALMANIA,MUNHARA,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006539931)
29,MUNHARA LALMANIA,MUNHARA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001977140)
30,MUNHARA LALMANIA,MUNHARA LALMANIA,Shallow tubewell,Ground Water,Shyam Ram S/O Ashesw ar Ram Ke Ghar Ke Najdik Sadka Kinare Dhanushi,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
31,MUNHARA LALMANIA,MUNHARA LALMANIA,Shallow tubewell,Ground Water,Moti Pandit S/O Meghru Pandit Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
32,MUNHARA LALMANIA,MUNHARA LALMANIA,Shallow tubewell,Ground Water,DHANUSHI /BRAHMA DEO SAH,HandPump,MLA QUOTA- LAUKAHA(0005338282)
33,MUNHARA LALMANIA,MUNHARA LALMANIA,Shallow tubewell,Ground Water,Saikul Mansuri S/O Met Musharu Mansuri Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA- LAUKAHA- 1(0005818976)
34,MUNHARA LALMANIA,MUNHARA LALMANIA,Shallow tubewell,Ground Water,Barhamdev Sah S/O Met Subalal Sah Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA- LAUKAHA- 1(0005818976)
