Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Aw c-18,HandPump,ANGANWARDI T/W - LAUKHA(0006358853)
2,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Baiju Sah S/O Kameshw ar Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
3,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Bishara Than Ke Najdik,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
4,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Sajjan Lal Ray S/O Chunchun Ray Ghar Ke Najdik Sadak Kinare,HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
5,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,School Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
6,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,Mandir Me,HandPump,NC/PC LAUKAHA- 2(0005703356)
7,TENGRAR,BALAM PATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563365)
8,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,P.S Balanpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
9,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,P.S Navtol Balanpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
10,TENGRAR,BALAM PATTI,Shallow tubewell,Ground Water,N.P.S Balapatti Bahar East Tol,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
11,TENGRAR,BALAM PATTI,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Source (Ht) Scheme(0004690599)
12,TENGRAR,NAVTOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC LAUKAHA(0006539931)
13,TENGRAR,NAVTOL,Deep tubewell,Ground Water,Nc/Pc Scheme For Laukaha Block,SPOT,Nc/Pc Scheme For Laukaha Block(0004563366)
14,TENGRAR,NAVTOL,Deep tubewell,Ground Water,Mushari Me,HandPump,Spot Source (Ht) Scheme(0004690599)
15,TENGRAR,NAVTOL,Shallow tubewell,Ground Water,BHOLA PASWAN,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W KHUTAUNA(0006682455)
16,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Rajendra Sah S/O Khattar Sah Ke Ghar Ke Pas Sadak Kinare Jathi,HandPump,MLA QOUTA- KHUTAUNA-1(0006286403)
17,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Amod Ram S/O Sri Kant Ram Ke Ghar Ke Pas Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
18,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Dindayal Thakur S/O Lat Jandat Thakur Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
19,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,Biku Sah S/O Lat Thakay Sah Ke Ghar Ke Najdik Sadak Kinare,HandPump,MLA QOUTA- KHUTAUNA- 1(0006286403)
20,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Shambhu Ray S/O Ramnath Ray Ghar Ke Najdik Sadak Kinare,Chikani Tol",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
21,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Ramsagar Sah S/O Met Motilal Sah Ghar Ke Nandik Sadak Kinare,Godh",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
22,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,"Jhubar Saday S/O Mangal Saday Ghar Ke Najdik Sadak Kinare ,Godh",HandPump,MLA QUOTA-LAUKAHA- 2(0005819161)
23,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,P.MAK Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
24,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,U.M.S Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
25,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,U.M.S Jathi,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
26,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,P.S Goth Parsahi,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
27,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,N.P.S Mandal Tol Murarpatti,HandPump,SCHOOL T/E-LAUKHA- 2(0006254374)
28,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,N.P.S Jathi Mushari,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
29,TENGRAR,TENGRAR,Shallow tubewell,Ground Water,M.S Tengrar,HandPump,SCHOOL T/W-LAUKHA- 1(0006252160)
