Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELAHI,BELAHI,Shallow tubewell,Ground Water,MAHOSADI MANDIR KE NAJDIK EAST TOL,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
2,BELAHI,BELAHI,Shallow tubewell,Ground Water,SEVA BABA ASTHAN MANDAP KE PAS,HandPump,MLA QOUTA- PANDAUL- 1(0006324997)
3,BELAHI,BELAHI,Shallow tubewell,Ground Water,Kari Yadav Ke Ghar Ke Samip Road Kinare Raghunathpur,HandPump,MLA QUOTA- PANDAUL- 3(0005816682)
4,BELAHI,BELAHI,Shallow tubewell,Ground Water,Dayanand Thakur Ke Ghar Ke Samip Road Kinare,HandPump,MLA QUOTA- PANDAUL- 3(0005816682)
5,BELAHI,BELAHI,Shallow tubewell,Ground Water,"B,S,N,L Taw ar Ke Samip Men Road Ke Bagal Me Sr Ramesw ar Lal Das Ghar Ke Bagal Me",HandPump,MLA QUOTA- PANDAUL- 3(0005816682)
6,BELAHI,BELAHI,Shallow tubewell,Ground Water,Laxman Mandal S/O Met Haribans Mandal Road Kinare Purab Tol,HandPump,MLA QUOTA- PANDAUL- 3(0005816682)
7,BELAHI,BELAHI,Shallow tubewell,Ground Water,Madan Ray S/O Sr Ghuran Ray Ghar Ke Pas,HandPump,MLC QOUTA PANDAUL(0006388316)
8,BELAHI,BELAHI,Shallow tubewell,Ground Water,P.S RAGHUNATHPUR,HandPump,SCHOOL T/W- PANDAUL(0006551966)
9,BELAHI,BELAHI,Shallow tubewell,Ground Water,M.S BELAHI,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
10,BELAHI,BELAHI,Shallow tubewell,Ground Water,P.S RAGHUNATHPUR,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
11,BELAHI,BELAHI,Shallow tubewell,Ground Water,U.M.S RAGHUNATH PUR,HandPump,SCHOOL T/W- RAHIKA(0006551837)
12,BELAHI,BELAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001971252)
13,BELAHI,BELAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677718)
14,BELAHI,BELAHI,Shallow tubewell,Ground Water,Upendra Thakur,HandPump,SUHTAIPMABLE NEWACE OF OLD PANDUL(0005820444)
15,BELAHI,BELAHI,Shallow tubewell,Ground Water,Krishnastmi Bhaw an Raghunathpur,HandPump,SUHTAIPMABLE NEWACE OF OLD PANDUL(0005820444)
16,BELAHI,BELAHI 2,Deep tubewell,Ground Water,Nc/Pc Scheme For Pandaul Block,SPOT,Nc/Pc Scheme For Pandaul Block(0004563493)
17,FATEHPUR EKDIHA,FATEPUR,Shallow tubewell,Ground Water,DURGA STHAN KE NAJDIK,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
18,FATEHPUR EKDIHA,FATEPUR,Shallow tubewell,Ground Water,Umesh Uraf Kishori Thakur Ke Ghar Ke Pas Road Kinare,HandPump,MLA QUOTA- PANDAUL- 3(0005816682)
19,FATEHPUR EKDIHA,FATEPUR,Shallow tubewell,Ground Water,Yadav Tola Me -2 Chapakal,HandPump,NC/PC PANDAUL- 1(0005705725)
20,FATEHPUR EKDIHA,FATEPUR,Shallow tubewell,Ground Water,Mandir Ke Bagal Me,HandPump,NC/PC PANDAUL- 1(0005705725)
21,FATEHPUR EKDIHA,FATEPUR,Deep tubewell,G ound Water i,School Ke Pas,HandPump,Ram Parikchan Thakur(0000045019)
22,FATEHPUR EKDIHA,FATEPUR,Shallow tubewell,Ground Water,P.S FATEPUR EKDARA GIRL,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
23,FATEHPUR EKDIHA,FATEPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004050938)
24,FATEHPUR EKDIHA,FATEPUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Ugra Nath Thakur(0000045022)
25,KAMLABARI,KAMLA BARI,Shallow tubewell,Ground Water,HAT PAR,HandPump,MLA QOUTA- PANDAUL- 1(0006324997)
26,KAMLABARI,KAMLA BARI,Shallow tubewell,Ground Water,MADHAY JI ASTHAN KE PAS,HandPump,MLA QOUTA- PANDAUL- 1(0006324997)
27,KAMLABARI,KAMLA BARI,Shallow tubewell,Ground Water,P.S AMRIT GANJ LOHAT KAMALWARI,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
28,KAMLABARI,KAMLA BARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001971262)
29,KAMLABARI,KAMLA BARI,Deep tubewell,Ground Water,Chamar Tola Me -2chapakal,HandPump,Spot Source(0002677723)
