Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,Mahavir Than Me Pokhar Ke Pachim Bhinda Par Mandir Ke Prangan Me,HandPump,MLA QUOTA-PANDAUL- 6(0005817176)
2,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,School Ke Pas-2chpakal,HandPump,NC/PC PANDAUL- 1(0005705725)
3,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,Road Side Me- 2chapakal,HandPump,NC/PC PANDAUL- 1(0005705725)
4,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,Mushari Me- 2chapakal,HandPump,NC/PC PANDAUL- 1(0005705725)
5,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,P.S HARIJAN DHAUNS,HandPump,SCHOOL T/W- PANDAUL- 2(0006270951)
6,PANDAUL,DHAUNS,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001971409)
7,PANDAUL,DHAUNS,Deep tubewell,Ground Water,Sarfjanik Asthan Me -2,HandPump,Spot Source(0002677894)
8,PANDAUL,DHAUNS,Shallow tubewell,Ground Water,Koka Mandal,HandPump,SUHTAIPMABLE NEWACE OF OLD PANDUL(0005820444)
9,PANDAUL,JAMSAM,Deep tubewell,Ground Water,School Ke Pas -2 Chapakal,HandPump,Buchchi Das(0000045037)
10,PANDAUL,JAMSAM,Deep tubewell,Ground Water,JAMSAM,PWS,JAMSAM PIPED WATER SUPPLY(0004885942)
11,PANDAUL,JAMSAM,Deep tubewell,Ground Water,Sarfjanik Asthan Me,HandPump,Lakxmi Narayan Mandir(0000045040)
12,PANDAUL,JAMSAM,Deep tubewell,Ground Water,Road Ke Pas- 2 Chapakal,HandPump,Madhukar Baba Asthan(0000045042)
13,PANDAUL,JAMSAM,Shallow tubewell,Ground Water,NIRMAL KAMAT S/O SUKHDEV KAMAT GHAR KE PAS SADAK KINARE,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
14,PANDAUL,JAMSAM,Shallow tubewell,Ground Water,Transfarmar Ke Pas Amat Tola Me,HandPump,MLA QUOTA-PANDAUL- 6(0005817176)
15,PANDAUL,JAMSAM,Shallow tubewell,Ground Water,M.S JAMSAM EAST,HandPump,SCHOOL T/W- PANDAUL- 2(0006270951)
16,PANDAUL,JAMSAM,Shallow tubewell,Ground Water,M.S JAMSHAM,HandPump,SCHOOL T/W- PANDAUL- 2(0006270951)
17,PANDAUL,JAMSAM,Deep tubewell,Ground Water,Sadak Kinare -2 Chapakal,HandPump,Spot Source (Ht) Scheme(0004690854)
