Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,PANDAUL,BALHA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Md.Jakir(0000045059)
2,PANDAUL,BALHA,Deep tubewell,Ground Water,School Me,HandPump,Md.Mohiuddin(0000045051)
3,PANDAUL,BALHA,Deep tubewell,Ground Water,Chamar Tola,HandPump,Md.Sulfan(0000045063)
4,PANDAUL,BALHA,Shallow tubewell,Ground Water,Mndir Me-2 Chapakal,HandPump,NC/PC PANDAUL- 2(0005705889)
5,PANDAUL,BALHA,Shallow tubewell,Ground Water,Masid Ke Pas,HandPump,NC/PC PANDAUL- 2(0005705889)
6,PANDAUL,BALHA,Shallow tubewell,Ground Water,Chw ak Ke Pas,HandPump,NC/PC PANDAUL- 2(0005705889)
7,PANDAUL,BALHA,Shallow tubewell,Ground Water,P.MAK BALUAHI,HandPump,SCHOOL T/W-PANDAUL- 2(0006270951)
8,PANDAUL,BALHA,Deep tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,Spot Source (Ht) Scheme(0004690854)
9,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-10 Samudaik Bhaw an,HandPump,Afroj Alam Anganbari(0005352000)
10,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-09 Harizan Tole,HandPump,Afroj Alam Anganbari(0005352000)
11,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-08,HandPump,Afroj Alam Anganbari(0005352000)
12,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Afroj Alam Anganbari(0005352000)
13,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Angan Wari Harijan Tol Kendar No-9,HandPump,Angan Wari(0004944799)
14,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Angan Wari Harijan Tol Kendar No-10,HandPump,Angan Wari(0004944800)
15,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-10 Samudaik Bhaw an,HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
16,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-09 Harizan Tole,HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
17,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-08,HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
18,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Anganw adi T/Well Jhanjarpur(0004960032)
19,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-10 Samudaik Bhaw an,HandPump,Anganw adi TW Pandaul(0004959885)
20,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-09 Harizan Tole,HandPump,Anganw adi TW Pandaul(0004959885)
21,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-08,HandPump,Anganw adi TW Pandaul(0004959885)
22,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Anganw adi TW Pandaul(0004959885)
23,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-10 Samudaik Bhaw an,HandPump,Anganw adi TW Pandaul(0004959886)
24,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-09 Harizan Tole,HandPump,Anganw adi TW Pandaul(0004959886)
25,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-08,HandPump,Anganw adi TW Pandaul(0004959886)
26,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Anganw adi TW Pandaul(0004959886)
27,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-08,HandPump,Anganw adi TW Pandaul(0004959895)
28,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Anganw adi TW Pandaul(0004959895)
29,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,AWC-01,HandPump,Anganw adi TW Pandaul(0004959902)
30,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,TARSARAY ROAD KE EAST NAL KE PAS KANDURI CHOWK PAR,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
31,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,BRAHMAN STHAN KE NAJDIK LAXMIPUR,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
32,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,KISANDEV YADAV S/O LAXMAN YADAV GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA-PANDAUL- 1(0006324997)
33,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Mithilesh Kumar Thakur Ke Ghar Ke Najdik Sadak Kinare Bazar,HandPump,MLA QOUTA-PANDAUL- 1(0006324997)
34,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Boye Lal Pandit Ke Ghar Ke Najdik Sadak Kinare Sohray,HandPump,MLA QOUTA-PANDAUL- 1(0006324997)
35,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Parmod Sah Ke Dukan Ke Samne Hospital Ke Bagal Me,HandPump,MLA QUOTA-PANDAUL- 4(0005816805)
36,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Dilip Purbe Machata Chook Ke Uttar Disha Me,HandPump,MLA QUOTA-PANDAUL- 4(0005816805)
37,PANDAUL,PANDAUL,Shallow tubewell,Ground Water,Day Munni Devi Ghar Ke Pas,HandPump,MLA QUOTA-PANDAUL- 4(0005816805)
