Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,Laxmi Ram Ghar Ke Pas,HandPump,MLA QUOTA- PANDAUL- 4(0005816805)
2,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,D,HandPump,NC/PC PANDAUL(0006544656)
3,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,C,HandPump,NC/PC PANDAUL(0006544656)
4,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,B,HandPump,NC/PC PANDAUL(0006544656)
5,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,A,HandPump,NC/PC PANDAUL(0006544656)
6,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,P.MAK MOHAN BARIYAM,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
7,MOHAN BARIYAM,MOHAN BARIYAM,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001971324)
8,MOHAN BARIYAM,MOHAN BARIYAM,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677782)
9,MOHAN BARIYAM,MOHAN BARIYAM,Shallow tubewell,Ground Water,Nasrudin Hotal Ke Samne ( Masjid Ke Pas),HandPump,SUHTAIPMABLE NEWACE OF OLD PANDUL(0005820444)
10,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Aw c-157 /Chamar Tole,HandPump,Afroj Alam Anganbari(0005352000)
11,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Aw c-156 /Musahar Tole,HandPump,Afroj Alam Anganbari(0005352000)
12,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,"Aw c-155 ,Sahitya Sadan",HandPump,Afroj Alam Anganbari(0005352000)
13,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Aw c-153,HandPump,Afroj Alam Anganbari(0005352000)
14,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Angan Wari Sagarpur Kendar No- 155,HandPump,Angan Wari(0004944789)
15,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Angan Wari Mushar Tol Kendar-156,HandPump,Angan Wari(0004944790)
16,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Aw c-156 /Musahar Tole,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
17,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,"Aw c-155 ,Sahitya Sadan",HandPump,Anganw adi HP Madhubani And JJP(0004965546)
18,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,TIRAY PASWAN GHAR KE PAS SADAK KINARE PASWAN TOL,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
19,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,RITESH THAKUR GHAR KE PICHE HANUMAN MANDIR KE PRANGAN ME BRAMOTRA,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
20,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,PAIKAS GODAM KE PAS CHAR STHALI KE NAJDIK,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
21,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,BIBHU JHA DUKAN KE PAS PASWAN TOL,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
22,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,NEEM PED KE PAS SADAK KINARE BRAHMAN TOL,HandPump,MLA QOUTA- PANDAUL(2013-14) (0006832632)
23,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Barham Than Samudayak Bhavan Ke Samne,HandPump,MLA QUOTA- PANDAUL- 4(0005816805)
24,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Bindesw ar Mandal Ghar Ke Samne Sadak Kinare Barham Than,HandPump,MLA QUOTA- PANDAUL- 4(0005816805)
25,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Arun Pasw an S/O Met Rajendar Pasw an Ke Darw aja Ke Pas,HandPump,MLA QUOTA- PANDAUL- 4(0005816805)
26,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Parmila Devi Ke Darw aja Ke Pas,HandPump,MLA QUOTA- PANDAUL- 4(0005816805)
27,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,B.S SAGARPUR,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
28,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,P.S SAGARPUR HARIJAN,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
29,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,M.S BRAHMOTRA,HandPump,SCHOOL T/W- PANDAUL- 1(0006270761)
30,SAGARPUR,SAGAR PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001971312)
31,SAGARPUR,SAGAR PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002677773)
32,SAGARPUR,SAGAR PUR,Deep tubewell,Ground Water,B.S.Sagarpur,HandPump,SPOT SOURCES(0002719734)
33,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Besik School,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD PANDUL(0005820425)
34,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,Mahakant Thakur Ke Ghar Ke Pas Harijan School Ke Pas Sagarpur,HandPump,SUHTAIPMABLE NEWACE OF OLD PANDUL(0005820444)
35,SAGARPUR,SAGAR PUR,Shallow tubewell,Ground Water,MADARSA SAHMANIYA,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W PANDAUL(0006682471)
