Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BALIA,BALIA,Deep tubewell,Ground Water,BALIA,PWS,Balia Belam(0004885628)
2,BALIA,BALIA,Shallow tubewell,Ground Water,MAHENDRA KUMAR THAKUR S/O UDAY THAKUR SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
3,BALIA,BALIA,Shallow tubewell,Ground Water,SUGDEV MANDL S/O LATE JHARI MANDAL KE GHAR KE P;AS SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
4,BALIA,BALIA,Shallow tubewell,Ground Water,CHOTU JHA S/O SHIV JHA GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
5,BALIA,BALIA,Shallow tubewell,Ground Water,D,HandPump,NC/PC RAHIKA(0006539751)
6,BALIA,BALIA,Shallow tubewell,Ground Water,C,HandPump,NC/PC RAHIKA(0006539751)
7,BALIA,BALIA,Shallow tubewell,Ground Water,B,HandPump,NC/PC RAHIKA(0006539751)
8,BALIA,BALIA,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAHIKA(0006539751)
9,BALIA,BALIA,Shallow tubewell,Ground Water,New  P.S Dhobiyahi,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
10,BALIA,BALIA,Shallow tubewell,Ground Water,New  P.S Chauri,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
11,BALIA,BALIA,Shallow tubewell,Ground Water,M.S.Baliya,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
12,BALIA,BALIA,Shallow tubewell,Ground Water,P.S Nima Chamar Tol,HandPump,SCHOOL T/W- RAHIKA- 3(0006220259)
13,ALIA,BALIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002655031)
14,ALIA,BALIA,Deep tubewell,Ground Water,Non Madatory,HandPump,Spot Source(0002655046)
15,ALIA,BALIA,Deep tubewell,Ground Water,M.S.Baliya,HandPump,Spot Source(0002717883)
16,ALIA,BALIA,Deep tubewell,Ground Water,M.S. Chauri,HandPump,Spot Source(0002717887)
17,ALIA,BALIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001965663)
18,ALIA,BALIA,Shallow tubewell,Ground Water,Harijan Koloni Dhangar Tol,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
19,ALIA,BALIA,Shallow tubewell,Ground Water,VRIHASPATI PASWAN,HandPump,SUSTANABLE RAHIKA 1(0006498242)
20,ALIA,BALIA,Shallow tubewell,Ground Water,UPENDRA RAM,HandPump,SUSTANABLE RAHIKA 1(0006498242)
21,ALIA,BALIA,Shallow ubew ell 5,Ground Water,VIRENDRA KUMAR RAI,HandPump,SUSTANABLE RAHIKA 1(0006498242)
22,ELAM,BELAM,Shallow tubewell,Ground Water,Belam,HandPump,NC/PC RAHIKA- 1(0005706193)
23,ELAM,BELAM,Shallow tubewell,Ground Water,M.S.Baliya Belam,HandPump,New  In Place Of Old T/W In Schools(0005350136)
24,ELAM,BELAM,Shallow tubewell,Ground Water,M.S.Baliya Belam,HandPump,SCHOOL T/W- RAHIKA- 1(0006210464)
25,ELAM,BELAM,Deep tubewell,Ground Water,M.S.Baliya Belam,HandPump,Spot Source(0002717888)
26,ELAM,BELAM,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004037853)
27,ELAM,CHOURI,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAHIKA(0006539751)
28,ELAM,CHOURI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004037867)
29,ELAM,SHIVDAT PUR,Shallow tubewell,Ground Water,DEVAN DHANGAR GHAR KE NAJDIK SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
30,ELAM,SHIVDAT PUR,Shallow tubewell,Ground Water,ASHARAM YADAV S/O CHAMKU YADAV SADAK KINARE,HandPump,MLA QOUTA- RAHIKA- 1(0006375885)
31,ELAM,SHIVDAT PUR,Deep tubewell,Ground Water,Non Mandatoy,HandPump,Spot Source(0004037884)
32,ELAM,SHIVDAT PUR,Shallow tubewell,Ground Water,Kachari,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAHIKA(0005820076)
