Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 98,HandPump,Afroj Alam Anganbari(0005352000)
2,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 97,HandPump,Afroj Alam Anganbari(0005352000)
3,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 95,HandPump,Afroj Alam Anganbari(0005352000)
4,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 93,HandPump,Afroj Alam Anganbari(0005352000)
5,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Anganw ari Panchayt Bhaw n Sakir Ansari Kendar No -153,HandPump,Angan Wari(0004944870)
6,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Anganw ari Bhochhi Momintol Madarsa Kendar -98,HandPump,Angan Wari(0004944874)
7,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Anganw ari Bhachhi Harijan Bhaw n Kendar No -95,HandPump,Angan Wari(0004945086)
8,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Anganw ari Bhachhi Pancayt Bhaw an Kendar No-97,HandPump,Angan Wari(0004945087)
9,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Anganw ari Mo Yusuph Kendar No-93,HandPump,Angan Wari(0004945093)
10,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 95,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
11,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 97,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
12,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 98,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
13,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 93,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
14,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 95,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
15,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 97,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
16,BHACHHI,BHACHHI N.,Shallow tubewell,Ground Water,Aw c 98,HandPump,Anganw adi HP Madhubani And JJP(0004965546)
