Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAKWA,BAKUA,Shallow tubewell,Ground Water,Upendra Pasw an S/O Shaini Pasw an Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
2,BAKWA,BAKUA,Shallow tubewell,Ground Water,Anil Kumar Yadav S/O Yogendra Yadav Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
3,BAKWA,BAKUA,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC MADHEPUR- 1(0005704486)
4,BAKWA,BAKUA,Shallow tubewell,Ground Water,Samudayik Bhaw an,HandPump,NC/PC MADHEPUR- 1(0005704486)
5,BAKWA,BAKUA,Shallow tubewell,Ground Water,Pokhar Bhindaa Par,HandPump,NC/PC MADHEPUR- 1(0005704486)
6,BAKWA,BAKUA,Shallow tubewell,Ground Water,N.P.S Chainaltol,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
7,BAKWA,BAKUA,Shallow tubewell,Ground Water,N.P.S Pharam Tol,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
8,BAKWA,BAKUA,Shallow tubewell,Ground Water,U.M.S Bakua,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
9,BAKWA,BAKUA,Shallow tubewell,Ground Water,P.S Radhikapur,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
10,BAKWA,BAKUA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976948)
11,BAKWA,BAKUA,Shallow tubewell,Ground Water,Sibu Ram,HandPump,Sr To T/Well(0005030737)
12,BAKWA,BAKUA,Shallow tubewell,Ground Water,Ramfal Saday,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD MADEPUR- 1(0005820347)
13,BAKWA,BAKUA,Shallow tubewell,Ground Water,Ramfal Saday,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD MADHEPUR- 1(0005820357)
14,BAKWA,BAKUA,Deep tubewell,Ground Water,Chow k Par Sadak Kinare,HandPump,Upendra Yadev(0000045431)
15,BAKWA,MUSAHARI,Deep tubewell,Ground Water,Chow k Par Mushari Tol,HandPump,Bajrangbali Isthan(0000045462)
16,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,D,HandPump,NC/PC MADHEPUR(0006535332)
17,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,C,HandPump,NC/PC MADHEPUR(0006535332)
18,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006535332)
19,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006535332)
20,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
21,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
22,BAKWA,MUSAHARI,Shallow tubewell,Ground Water,N.P.S Badhiniya Mushari,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
23,BAKWA,MUSAHARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056083)
24,BAKWA,MUSAHARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056138)
25,BAKWA,SUNARI,Deep tubewell,Ground Water,Mandir Ke Pas Sunari,HandPump,Gangai Yadev(0000045454)
26,BAKWA,SUNARI,Deep tubewell,Ground Water,Sarvajanik Sthan,HandPump,Laxmi Ram(0000045445)
27,BAKWA,SUNARI,Deep tubewell,Ground Water,Sunari Samudaik Bhaw an,HandPump,Maszid(0000045442)
28,BAKWA,SUNARI,Shallow tubewell,Ground Water,Bulet Pasw an S/O Baldev Pasw an Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
29,BAKWA,SUNARI,Shallow tubewell,Ground Water,P.S Sundari,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
30,BAKWA,SUNARI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056168)
31,BAKWA,YADAV TOL,Shallow tubewell,Ground Water,C,HandPump,NC/PC MADHEPUR(0006541778)
32,BAKWA,YADAV TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
33,BAKWA,YADAV TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
34,BAKWA,YADAV TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976948)
35,BAKWA,YADAV TOL,Deep tubewell,Ground Water,Chow k Par Yadav Toli Me,HandPump,Sri Ramnaryan Yadev(0000045642)
36,BAKWA,YOGIA,Shallow tubewell,Ground Water,Umesh Ram S/O Laddu Lal Ram Ke Ghar Ke Najdik,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
37,BAKWA,YOGIA,Shallow tubewell,Ground Water,1Shambhu Sahni S/O Jhapsu Sahni Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
38,BAKWA,YOGIA,Shallow tubewell,Ground Water,P.MAK Yogia,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
39,BAKWA,YOGIA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976948)
