Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ASURGARH,ASUR GARH,Shallow tubewell,Ground Water,Chow k Par Asurgarhi,HandPump,NC/PC MADHEPUR- 1(0005704486)
2,ASURGARH,ASUR GARH,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001977234)
3,ASURGARH,ASUR GARH,Shallow tubewell,Ground Water,Dashrath Saday,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD MADHEPUR(0005819775)
4,BAGEWA,BAGEBA,Shallow tubewell,Ground Water,P.S Bagw a,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
5,BAGEWA,BAGEBA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001977212)
6,BHAWANIPUR,BHAWANI PUR,Shallow tubewell,Ground Water,Raj Kumar Singh S/O Ram Chandra Singh Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
7,BHAWANIPUR,BHAWANI PUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006535332)
8,BHAWANIPUR,BHAWANI PUR,Shallow tubewell,Ground Water,M.S Bhaw anipur,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
9,BHAWANIPUR,BHAWANI PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056624)
10,GARHGAON,BAKSHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563425)
11,GARHGAON,GARH GAWN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056638)
12,GARHGAON,GODHGAUN,Deep tubewell,Ground Water,Mandir Ke Pas Godhgaon,HandPump,Bodai Mandal(0000045630)
13,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Mo Mustkim S/O Jan Ali Ke Ghar Ke Niket Jadubani,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
14,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Vidhya Nanad Yadav S/O Laxmi Yadav Ke Ghar Ke Niket Gew al,HandPump,MLA QOUTA- MADHEPUR-1(0006304327)
15,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Rajendra Mandal S/O Ache Lal Mandal Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
16,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Sanjay Kumar Mandal S/O Rajeshw ar Mandal Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
17,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Bhumi Mandal S/O Satan Mandal Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
18,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,Baijnath Mandal S/O Mishri Lal Mandal Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
19,GARHGAON,GODHGAUN,Shallow tubewell,Ground Water,M.S Gadhgaun,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
20,GARHGAON,RAGHOPUR,Shallow tubewell,Ground Water,Raghopur Bazaar Me,HandPump,Spot Sourse(0001977236)
21,GOBARGARHA,GOBAR GARHA,Deep tubewell,Ground Water,Bazaaar Road Me Gobargariha,HandPump,Md. Faruque(0000045619)
22,GOBARGARHA,GOBAR GARHA,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Md. Hiero Miya(0000045623)
23,GOBARGARHA,GOBAR GARHA,Shallow tubewell,Ground Water,Rajendr Yadav S/O Met Balesw ar Yadav Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
24,GOBARGARHA,GOBAR GARHA,Shallow tubewell,Ground Water,Naryan Yadav S/O Met Aanandi Yadav Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
25,GOBARGARHA,GOBAR GARHA,Shallow tubewell,Ground Water,Mo Sabir Ansari S/O Manjur Ansari Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
26,GOBARGARHA,GOBAR GARHA,Shallow tubewell,Ground Water,Masjid Ke Pas,HandPump,NC/PC MADHEPUR- 1(0005704486)
