Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHUNNI,CHANNI,Shallow tubewell,Ground Water,Arun Jha S/O Met Ravinath Jha Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 4(0005554942)
2,CHUNNI,CHANNI,Shallow tubewell,Ground Water,Chow k Par Channi,HandPump,NC/PC MADHEPUR- 1(0005704486)
3,CHUNNI,CHANNI,Shallow tubewell,Ground Water,Mandir Ke Pas,HandPump,NC/PC MADHEPUR- 1(0005704486)
4,CHUNNI,CHANNI,Shallow tubewell,Ground Water,Pokhar Bhindaaa Par,HandPump,NC/PC MADHEPUR- 1(0005704486)
5,CHUNNI,CHANNI,Shallow tubewell,Ground Water,M.S Chunni,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
6,CHUNNI,CHANNI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004056654)
7,KARHARA,BARAI TOL,Deep tubewell,Ground Water,Chow k Par Barai Tol,HandPump,Badri Safi(0000045280)
8,KARHARA,BRAHMAN TOL,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Prem Kr. Jha(0000045288)
9,KARHARA,DHANUK TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Madhepur Block,SPOT,Nc/Pc Scheme For Madhepur Block(0004563427)
10,KARHARA,JANKI NAGAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678539)
11,KARHARA,KARHARA,Shallow tubewell,Ground Water,Shiv Lal Mandal S/O Arjun Mandal Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
12,KARHARA,KARHARA,Shallow tubewell,Ground Water,Mukhi Lal Pasw an S/O Lat Kailu Pasw an Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
13,KARHARA,KARHARA,Shallow tubewell,Ground Water,Baldev Lal Das S/O Buchi Lal Das Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
