Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,MADHEPUR,BAZAR,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006535332)
2,MADHEPUR,BAZAR,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
3,MADHEPUR,BAZAR,Deep tubewell,Ground Water,Madhepur Bazar Me,HandPump,Spot Source(0002678372)
4,MADHEPUR,CHAUDHARY TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 2(0005704793)
5,MADHEPUR,CHAUDHARY TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 2(0005704793)
6,MADHEPUR,CHAUDHARY TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 2(0005704793)
7,MADHEPUR,CHAUDHARY TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 2(0005704793)
8,MADHEPUR,CHAUDHARY TOL,Shallow tubewell,Ground Water,N/C P/C Madhepur Block,HandPump,NC/PC MADHEPUR- 2(0005704793)
9,MADHEPUR,CHAUDHARY TOL,Deep tubewell,Ground Water,Chndan Yadav Ke Ghar Ke Pas,HandPump,Spot Source (Ht) Scheme(0004690854)
10,MADHEPUR,CHAUDHARY TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976668)
11,MADHEPUR,DOM TOL,Deep tubewell,Ground Water,Anand Kumar Ke Ghar Ke Pas,HandPump,Tin Konma Near Bridge(0000045155)
12,MADHEPUR,HARIJAN TOL,Deep tubewell,Ground Water,Chow k Par Harijan Tol,HandPump,Fuleshw ar Sadai(0000045148)
13,MADHEPUR,HARIJAN TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
14,MADHEPUR,KUMHAR TOL,Deep tubewell,Ground Water,Chow k Par Kumhar Tol,HandPump,Near Bridge(0000045158)
15,MADHEPUR,KUMHAR TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976668)
16,MADHEPUR,LAXMI PUR,Deep tubewell,Ground Water,MANDIR KE PAS LAXMIPUR,HandPump,Near Phuchan THakur Dukan(0000684298)
17,MADHEPUR,LAXMI PUR,Deep tubewell,Ground Water,Chow k Par,HandPump,Suri Samaj Bidayal(0000045145)
18,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,POKHAR BHINDA PAR,HandPump,Badri Khan(0000045142)
19,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,MDHEPUR BAZAAR,HandPump,Gaga Chopal(0000045091)
20,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,CHOWK PAR,HandPump,Janak MAndal(0000045093)
21,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,ROAD SIDE ME,HandPump,Madhepur Spot Source Scheme(0004688942)
22,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Domi Kujra S/O Babuji Kujra Ghar Ke Niket Menarahi,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
23,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Ram Narayan Saday S/O Jangal Saday Ghar Ke Niket Ramchandra Mushari,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
24,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Ram Kripal Yadav S/O Khakhar Yadav Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
25,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Satay Narayan Marw ari S/O Munna Marw ari Ke Ghar Ke Niket,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
26,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,1Shivji Saday S/O Lujkul Saday Ghar Ke Niket Chanki Mushari,HandPump,MLA QOUTA- MADHEPUR- 1(0006304327)
27,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Bhola Momil S/O Met Rahman Moulbi Ghar Ke Najdik Rahmatganj,HandPump,MLA QUOTA- MADHEPUR- 2(0005674890)
28,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Ramshobhit Ram S/O Met Thako Mochi Ghar Ke Najdik Kochla Tola,HandPump,MLA QUOTA- MADHEPUR- 2(0005674890)
29,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Mo Hasib Ansari S/O Met Palaw  Ansari Ghar Ke Najdik,HandPump,MLA QUOTA- MADHEPUR- 2(0005674890)
30,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Satnarayan Ray S/O Jholi Ray Ghar Ke Najdik Kali Mandir,HandPump,MLA QUOTA- MADHEPUR- 2(0005674890)
31,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Gopal Mandal S/O Met Janak Mandal Ghar Ke Najdik Men Bazar,HandPump,MLA QUOTA- MADHEPUR- 2(0005674890)
32,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,MANDIR KE PAS,HandPump,Nanid Kjara(0000045102)
33,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,Madhepur East,PWS,Pw ss(0004944806)
34,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.S. BELA,HandPump,SCHOOL T/W- MADHEPUR(0006557814)
35,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.S Madhepur Bazar,HandPump,SCHOOL T/W- MADHEPUR(0006557814)
36,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.MAK Pipra,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
37,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.MAK Mainrahi,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
38,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,N.P.S Rampur,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
39,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,N.P.S Ramchandra Yadav Tol,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
40,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,N.P.S Mainarahi Phulkahi Tol,HandPump,SCHOOL T/W- MADHEPUR- 1(0006247284)
41,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.S Pipra Jhaukhi Mushari,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
42,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.S Pipra Hindi,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
43,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,U.M.S Ramchandra,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
44,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,P.S Madhepur Bazar,HandPump,SCHOOL T/W- MADHEPUR- 2(0006251898)
45,MADHEPUR,MADHEPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976668)
46,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Md Arif,HandPump,Sr To T/Well(0005030737)
47,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Hulahi Sah,HandPump,Sr To T/Well(0005030737)
48,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Madhepur Bhouri Passi,HandPump,Sr To T/Well(0005030737)
49,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Thana Purbi Get Par,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD MADHEPUR(0005819775)
50,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,Mushari Maina Rahi,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD MADHEPUR(0005819775)
51,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,BHAGWANI MAHTO RAMCHANDRA,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHEPUR(0006682423)
52,MADHEPUR,MADHEPUR,Shallow tubewell,Ground Water,CHAUDHARY GACHI,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W MADHEPUR(0006682423)
53,MADHEPUR,MIYAN TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Madhepur Spot Source Scheme(0004688942)
54,MADHEPUR,MIYAN TOL,Shallow tubewell,Ground Water,C,HandPump,NC/PC MADHEPUR(0006541778)
55,MADHEPUR,MIYAN TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
56,MADHEPUR,MIYAN TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
57,MADHEPUR,MIYAN TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976668)
58,MADHEPUR,PASI TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
59,MADHEPUR,PASI TOL,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme(0007086682)
60,MADHEPUR,PASI TOL,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976668)
61,MADHEPUR,RAJPUT TOL,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
62,MADHEPUR,RAJPUT TOL,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
63,MADHEPUR,RAJPUT TOL,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme(0007086682)
64,MADHEPUR,RAJPUT TOL,Deep tubewell,Ground Water,Mushari Me -2 Chapakal,HandPump,Spot Sourse(0001976668)
65,MADHEPUR,SONPUR,Shallow tubewell,Ground Water,B,HandPump,NC/PC MADHEPUR(0006541778)
66,MADHEPUR,SONPUR,Shallow tubewell,Ground Water,A,HandPump,NC/PC MADHEPUR(0006541778)
67,MADHEPUR,SONPUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001976654)
68,MADHEPUR,SONPUR,Shallow tubewell,Ground Water,Ps Sisoun,HandPump,Sr To T/Well(0005030737)
