Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ALPURA,ALPURA,Deep tubewell,Ground Water,WEST TOLA,HandPump,Andhratharhi Spot Source Sheme(0004688772)
2,ALPURA,ALPURA,Deep tubewell,Ground Water,PURAB TOLA,HandPump,Andhratharhi Spot Source(0004664936)
3,ALPURA,ALPURA,Shallow tubewell,Ground Water,Mustak Amhad And Sadrul Ansari Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 3(0005661930)
4,ALPURA,ALPURA,Shallow tubewell,Ground Water,Uttam Pasw an And Siyaram Choupal Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 3(0005661930)
5,ALPURA,ALPURA,Shallow tubewell,Ground Water,ROAD SIDE,HandPump,NC/PC ANDHRATHARHI(0005692671)
6,ALPURA,ALPURA,Shallow tubewell,Ground Water,BICH TOLA,HandPump,NC/PC ANDHRATHARHI(0005692671)
7,ALPURA,ALPURA,Shallow tubewell,Ground Water,SOUTH TOLA,HandPump,NC/PC ANDHRATHARHI(0005692671)
8,ALPURA,ALPURA,Shallow tubewell,Ground Water,SOUTH TOLA- 2,HandPump,NC/PC ANDHRATHARHI(0005692671)
9,ALPURA,ALPURA,Shallow tubewell,Ground Water,NORTH TOLA,HandPump,NC/PC ANDHRATHARHI(0005692671)
10,ALPURA,ALPURA,Deep tubewell,Ground Water,Nc/Pc Scheme For Andhratharhi Block,SPOT,Nc/Pc Scheme For Andhratharhi Block(0004563053)
11,ALPURA,ALPURA,Shallow tubewell,Ground Water,MD.ISLAM,HandPump,NC/PC(0006498459)
12,ALPURA,ALPURA,Shallow tubewell,Ground Water,MD.MUSTAK,HandPump,NC/PC(0006498459)
13,ALPURA,ALPURA,Shallow tubewell,Ground Water,MD.JALIL SAH,HandPump,NC/PC(0006498459)
14,ALPURA,ALPURA,Shallow tubewell,Ground Water,Mishri Lal Jha,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD ANDHARADHARHI(0005819956)
15,ALPURA,ALPURA,Shallow tubewell,Ground Water,Harijan Tol Ke Bagal Me,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W ANDHRATHARI(0006367433)
16,ALPURA,ALPURA,Shallow tubewell,Ground Water,Masjid Ke Piche,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W ANDHRATHARI- 1(0006134907)
17,ALPURA,ALPURA,Shallow tubewell,Ground Water,BAJRANGBALI STHAN,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
18,ALPURA,ALPURA,Shallow tubewell,Ground Water,BUDHIYAD PASWAN,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
19,ALPURA,ALPURA,Shallow tubewell,Ground Water,MUNINDRA JHA,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
20,ALPURA,ALPURA,Shallow tubewell,Ground Water,SWAROOP CHAUPAL,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
21,NANAUR,DUMARIYAHI,Deep tubewell,Ground Water,ROAD SIDE,HandPump,HP Scheme(0004690544)
22,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,Ramesh Pandit And Bahuru Pandit Ghar Ke Samne Sadak Kinare,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
23,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,Sukha Pandit And Ramsundafr Yadav Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 3(0005661930)
24,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC ANDHRATHARHI(0006538495)
25,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,B,HandPump,NC/PC ANDHRATHARI(0006534150)
26,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC ANDHRATHARI(0006534150)
27,NANAUR,DUMARIYAHI,Shallow tubewell,Ground Water,U.M.S Dumriahi,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
28,NANAUR,DUMARIYAHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973668)
29,NANAUR,MUSHASARI,Deep tubewell,Ground Water,,HandPump,Andhratharhi Spot Source Sheme(0004688772)
