Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Aw c-151,HandPump,ANGANWARDI T/W- RAJNAGAR(0006355467)
2,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Aw c-137,HandPump,ANGANWARDI T/W- RAJNAGAR(0006355467)
3,BAHT SIMAR,BHATSIMAR,Deep tubewell,Ground Water,Masjie Ke Pas,HandPump,Bajrangw ali Asthan(0000045586)
4,BAHT SIMAR,BHATSIMAR,Deep tubewell,Ground Water,Sarvjanik Asthan,HandPump,Botal Pasw an(0000045582)
5,BAHT SIMAR,BHATSIMAR,Deep tubewell,Ground Water,Sarvjanik Asthan,HandPump,Enul Nadaf(0000045571)
6,BAHT SIMAR,BHATSIMAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Ganesh Chaudhary(0000045589)
7,BAHT SIMAR,BHATSIMAR,Deep tubewell,Ground Water,Road Side Me,HandPump,Manik Mandal(0000045568)
8,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Islam Jahuri And Chandar Yadav Ke Samne Sadak Kinare,HandPump,MLA QOUTA- RAJNAGAR- 2(0006459626)
9,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Bhola Jha And Pramanand Jha Ke Samne Sadak Kinare,HandPump,MLA QOUTA- RAJNAGAR- 2(0006459626)
10,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Bhairav Sthan Parisar,HandPump,MLA QOUTA- RAJNAGAR- 2(0006459626)
11,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Faruk Sah And Jalil Sah Ke Ghar Ke Samne Sadak Kinare Muslim Tol,HandPump,MLA QUOTA- RAJNAGAR- 4(0005658356)
12,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Sarupalal Ram And Upendar Ram Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA- RAJNAGAR- 4(0005658356)
13,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Yugesw ar Mukhya And Tuntun Mukhya Ke Ghar Ke Samne Sadak Kinare Bhutha Bajar,HandPump,MLA QUOTA- RAJNAGAR- 4(0005658356)
14,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,"Shrichan Mahto And Badi Mahto Ke Ghar Ke Samne Nahar Kinare ,Sadak Kinare Malhnma",HandPump,MLA QUOTA- RAJNAGAR- 4(0005658356)
15,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Batohi Choupal And Shobhi Choupal Ke Samne Ramjanki Mandir Ke Sadak Kinare,HandPump,MLA QUOTA- RAJNAGAR- 4(0005658356)
16,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Sadak Ke Pas,HandPump,NC/PC RAJNAGAR- 1(0005706442)
17,BAHT SIMAR,BHATSIMAR,Shallow tubewell,Ground Water,Sarvjanik Asthan,HandPump,NC/PC RAJNAGAR- 1(0005706442)
