Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,THARHI,BAZAR ANDHA,Deep tubewell,Ground Water,Road Side- 2 Nos,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
2,THARHI,BAZAR ANDHA,Shallow tubewell,Ground Water,Middje Tola-3 Nos,HandPump,NC/PC ANDHRATHARHI(0005692671)
3,THARHI,BAZAR ANDHA,Shallow tubewell,Ground Water,East Tola- 2 Nos,HandPump,NC/PC ANDHRATHARHI(0005692671)
4,THARHI,BAZAR ANDHA,Shallow tubewell,Ground Water,M.S.ANDHRA BAZAR,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
5,THARHI,BAZAR ANDHA,Shallow tubewell,Ground Water,New  P.S Gay Aolar Andhra,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
6,THARHI,BAZAR ANDHA,Deep tubewell,Ground Water,Non Mandatory -2 Nos,HandPump,Spot Sourse(0001973918)
7,THARHI,KOLHNA,Deep tubewell,Ground Water,5 Nos,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
8,THARHI,KOLHNA,Shallow tubewell,Ground Water,Ayodhi Pasw an And Jibach Pasw an Ghar Ke Samne West Talab Bhinda Par,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
9,THARHI,KOLHNA,Shallow tubewell,Ground Water,Ramsundar Yadav And Mushar Yadav Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
10,THARHI,KOLHNA,Shallow tubewell,Ground Water,U.M.S Kolhua,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
11,THARHI,KOLHNA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678863)
12,THARHI,KOLHNA,Deep tubewell,Ground Water,Ramesw ar Ram/ Lalan Roy /Sita Ram,HandPump,Spot Sourse(0001973918)
13,THARHI,MUSLIM TOLA,Deep tubewell,Ground Water,8 Nos,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
14,THARHI,MUSLIM TOLA,Shallow tubewell,Ground Water,Aw w  Center Harijan Baithka,HandPump,ANGANBARI HP ANDHARATHADI(0004958019)
15,THARHI,MUSLIM TOLA,Shallow tubewell,Ground Water,Kudus Ansari And Samshad Ansari Ke Ghar Ke Samne Sadak Kinare West,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
16,THARHI,MUSLIM TOLA,Shallow tubewell,Ground Water,Jalludin Ansari And Akhtari Khatun Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
17,THARHI,MUSLIM TOLA,Shallow tubewell,Ground Water,Aaa,HandPump,NC/PC ANDHRATHARHI(0006538495)
18,THARHI,MUSLIM TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973918)
19,THARHI,NORTH TOLA,Deep tubewell,Ground Water,8 Nos,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
20,THARHI,NORTH TOLA,Shallow tubewell,Ground Water,Domi Ram And Ram Udgar Yadav Uraf Bholta Yadav Ghar Ke Samne Sadak Kinare West,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
21,THARHI,NORTH TOLA,Shallow tubewell,Ground Water,P.S Andhra North,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
22,THARHI,NORTH TOLA,Deep tubewell,Ground Water,Non Mandatory- 8 Nos,HandPump,Spot Sourse(0001973918)
23,THARHI,PALAR,Deep tubewell,Ground Water,One Nos,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
24,THARHI,PALAR,Shallow tubewell,Ground Water,Mushar Mukhya And Chandu Mukhya Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
25,THARHI,PALAR,Shallow tubewell,Ground Water,Ramfal Ram And Birendar Yadav Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
26,THARHI,PALAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678856)
27,THARHI,PALAR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973918)
28,THARHI,PALAR,Shallow tubewell,Ground Water,RAM MUKHIYA,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
29,THARHI,THARHI,Deep tubewell,Ground Water,One No,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
30,THARHI,THARHI,Deep tubewell,Ground Water,One No,HandPump,Andhratharhi PC Habitation Scheme(0005658803)
31,THARHI,THARHI,Shallow tubewell,Ground Water,Ps Tharhi,HandPump,ANGANBARI HP ANDHARATHADI(0004958019)
32,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.07,HandPump,Anganw ari Andhratharhi Block(0005454488)
33,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.05,HandPump,Anganw ari Andhratharhi Block(0005454488)
34,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.07,HandPump,Anganw ari Andhratharhi Block(0005454489)
35,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.05,HandPump,Anganw ari Andhratharhi Block(0005454489)
36,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.07,HandPump,Anganw ari Andhratharhi Block(0005454504)
37,THARHI,THARHI,Shallow tubewell,Ground Water,Aw c No.05,HandPump,Anganw ari Andhratharhi Block(0005454504)
38,THARHI,THARHI,Deep tubewell,Ground Water,,PWS,Middle School Andhra Thari(0000042587)
39,THARHI,THARHI,Shallow tubewell,Ground Water,Nirijhan Bhavn Parisar West Koshi Nahar Par,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
40,THARHI,THARHI,Shallow tubewell,Ground Water,Kamladitay Sthan Parisar Me South Tola,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
41,THARHI,THARHI,Shallow tubewell,Ground Water,Bacaspati Bhavn Nirman Sthal,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
42,THARHI,THARHI,Shallow tubewell,Ground Water,Talab Ke Utar Bhinda Par Mahadev Mandir Parisar Me,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
43,THARHI,THARHI,Shallow tubewell,Ground Water,Kari Mandal And Nunu Mandal Ghar Ke Samne Sadak Kinare Bishanpura,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
44,THARHI,THARHI,Shallow tubewell,Ground Water,Gulab Devi And Chandra Kumar Chaudhary Ghar Ke Samne Sadak Se East,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
45,THARHI,THARHI,Shallow tubewell,Ground Water,Turant Ray And Tirbeni Devi Ke Ghar Ke Samne Sadak Kinare Andhra,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
46,THARHI,THARHI,Shallow tubewell,Ground Water,Batay Sah And Ravi Ray Ke Ghar Ke Samne Sadak Kinare Pachim Andhara,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
47,THARHI,THARHI,Shallow tubewell,Ground Water,Ramavtar Yadav And Ramchandar Yadav Ke Dukan Ke Samne Pakki Sadak Kinare Andhra,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
48,THARHI,THARHI,Shallow tubewell,Ground Water,Musan Ram And Bablu Ram Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
49,THARHI,THARHI,Shallow tubewell,Ground Water,Shamshul Rayan And Ismayal Rayan Ke Ghar Ke Samne Sadak Kinare Utar Tol,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
50,THARHI,THARHI,Shallow tubewell,Ground Water,Shivnandan Choodhary And Jibac Yadav Ke Ghar Se Purab Samne Sadak Kinare Jhatigrast Kuw a Ke Bagal Me,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
51,THARHI,THARHI,Shallow tubewell,Ground Water,Panchu Saday And Suraj Saday Ke Ghar Ke Samne Sadak Kinare Gayaolar Se Dacjhin,HandPump,MLA QUOTA-ANDHRATHADI- 4(0005662596)
52,THARHI,THARHI,Shallow tubewell,Ground Water,Jaynaryan Mahtol S/O Sr Jhagru Mahto Ghar Ke Pas Meghban,HandPump,MLC QOUTA ANDHRATHADI(0006400712)
53,THARHI,THARHI,Shallow tubewell,Ground Water,Navkant Chaudhary S/O Sr Yogendra Chaudhary Ghar Ke Pas,HandPump,MLC QOUTA ANDHRATHADI(0006400712)
54,THARHI,THARHI,Shallow tubewell,Ground Water,E,HandPump,NC/PC ANDHRATHARHI(0006538495)
55,THARHI,THARHI,Shallow tubewell,Ground Water,D,HandPump,NC/PC ANDHRATHARHI(0006538495)
56,THARHI,THARHI,Shallow tubewell,Ground Water,C,HandPump,NC/PC ANDHRATHARHI(0006538495)
57,THARHI,THARHI,Shallow tubewell,Ground Water,B,HandPump,NC/PC ANDHRATHARHI(0006538495)
58,THARHI,THARHI,Shallow tubewell,Ground Water,A,HandPump,NC/PC ANDHRATHARHI(0006538495)
59,THARHI,THARHI,Shallow tubewell,Ground Water,P.S Bishnupura Thadhi,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
60,THARHI,THARHI,Shallow tubewell,Ground Water,P.S Thadhi Kuzratol,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
61,THARHI,THARHI,Shallow tubewell,Ground Water,P.S Thadhi Girl,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
62,THARHI,THARHI,Shallow tubewell,Ground Water,P.S Palar,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
63,THARHI,THARHI,Shallow tubewell,Ground Water,U.M.S Madhuban,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
64,THARHI,THARHI,Shallow tubewell,Ground Water,M.S.ANDHRATHADI,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
65,THARHI,THARHI,Shallow tubewell,Ground Water,New  P.S Thathi Bondih Goriahi,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
66,THARHI,THARHI,Shallow tubewell,Ground Water,New  P.S Dhobiyahi Tol,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
67,THARHI,THARHI,Shallow tubewell,Ground Water,New  P.S Bhagiman Tol Thadhi,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
68,THARHI,THARHI,Shallow tubewell,Ground Water,New  P.S Andhragoth West (Urdu),HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
69,THARHI,THARHI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678850)
