Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,GONAULI,BRAHMAN TOLA,Shallow tubewell,Ground Water,BICH TOLA-2 NOS,HandPump,NC/PC ANDHRATHARHI(0005692671)
2,GONAULI,BRAHMAN TOLA,Shallow tubewell,Ground Water,PURAB TOLE,HandPump,NC/PC ANDHRATHARHI(0005692671)
3,GONAULI,BRAHMAN TOLA,Shallow tubewell,Ground Water,ROAD SIDE-3 NOS,HandPump,NC/PC ANDHRATHARHI(0005692671)
4,GONAULI,BRAHMAN TOLA,Deep tubewell,Ground Water,Non Mandatory-3 NOS,HandPump,Spot Sourse(0001973581)
5,GONAULI,CHAUAL TOLA,Deep tubewell,Ground Water,ROAD SIDE,HandPump,Andhratharhi Spot Source Sheme(0004688772)
6,GONAULI,CHAUAL TOLA,Deep tubewell,Ground Water,MIDDLE TOLE,HandPump,Andhratharhi Spot Source(0004664936)
7,GONAULI,CHAUAL TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Andhratharhi Block,SPOT,Nc/Pc Scheme For Andhratharhi Block(0004563038)
8,GONAULI,DEDHMA,Shallow tubewell,Ground Water,Durgasthan Se West R.E.O Sadak Ka Kona,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
9,GONAULI,DEDHMA,Shallow tubewell,Ground Water,Kurmi Pokhar South-West Muhar Ke Kona,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
10,GONAULI,DEDHMA,Shallow tubewell,Ground Water,Ashok Yadav And Jagdev Yadav Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA-ANDHRATHADI- 1(0005660745)
11,GONAULI,DEDHMA,Shallow tubewell,Ground Water,KHATWE TOLE,HandPump,NC/PC(0006498894)
12,GONAULI,DEDHMA,Shallow tubewell,Ground Water,P.S. Deduaa,HandPump,RUNNING WS IN SCHOOL(0006534784)
13,GONAULI,DEDHMA,Shallow tubewell,Ground Water,P.S. Deduaa,HandPump,RUNNING WS IN SCHOOL(0006534787)
14,GONAULI,DEDHMA,Shallow tubewell,Ground Water,P.S. Deduaa,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
15,GONAULI,DEDHMA,Shallow tubewell,Ground Water,P.S. Deduaa,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
16,GONAULI,DEDHMA,Shallow tubewell,Ground Water,P.S.Dedhuaa,HandPump,School T/Well Andharathadi(0004965680)
17,GONAULI,DEDHMA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973581)
18,GONAULI,DHABI TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0004037827)
19,GONAULI,DHANUK TOLA,Shallow tubewell,Ground Water,Ps Dhanuk Tola,HandPump,School H.P.(0004922422)
20,GONAULI,DHANUK TOLA,Shallow tubewell,Ground Water,Ps Dhanuk Tola,HandPump,School Tw ell(0004917751)
21,GONAULI,DHANUK TOLA,Shallow tubewell,Ground Water,Ps.Dhanuk Tola,HandPump,School Tw ell(0004917751)
22,GONAULI,DHANUK TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678723)
23,GONAULI,GANAULI,Shallow tubewell,Ground Water,Laxmi Narayan Mandir Parisar,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
24,GONAULI,GANAULI,Shallow tubewell,Ground Water,HRIDAI NR.JHA,HandPump,MLA QUOTA(0006500772)
25,GONAULI,GANAULI,Shallow tubewell,Ground Water,DAYA SANKAR MANDAL,HandPump,MLA QUOTA(0006500772)
26,GONAULI,GANAULI,Shallow tubewell,Ground Water,GANES CHANDRA,HandPump,MLA QUOTA(0006500772)
27,GONAULI,GANAULI,Shallow tubewell,Ground Water,BINDESWAR RAM,HandPump,NC/PC(0006498894)
28,GONAULI,GANAULI,Shallow tubewell,Ground Water,GANGAI MANDAL,HandPump,NC/PC(0006498894)
29,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S.Navtole Ganauli,HandPump,RUNNING WS IN SCHOOL(0006534784)
30,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S.Navtole Ganauli,HandPump,RUNNING WS IN SCHOOL(0006534787)
31,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S Kasma Gaur,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
32,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S Ganauli Sanskrit,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
33,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S Ganauli Girl,HandPump,SCHOOL T/W-ANDHRATHADI -2(0006161437)
34,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S .Ganauli Dhanuk Tola,HandPump,SCHOOL T/W- ANDHRATHADI(0006161372)
35,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S .Ganauli Dhanuk Tola,HandPump,SCHOOL T/W- ANDHRATHADI(0006161407)
36,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S.Navtole Ganauli,HandPump,SCHOOL T/W- ANDHRATHADI(0006557696)
37,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S Ganauli Girl,HandPump,SCHOOL T/W- ANDHRATHADI(0006557696)
38,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S.Dehua Aw s-114,HandPump,SCHOOL T/W- ANDHRATHADI(0006557696)
39,GONAULI,GANAULI,Shallow tubewell,Ground Water,P.S.Navtole Ganauli,HandPump,School T/Well Andharathadi(0004965680)
40,GONAULI,GANAULI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973581)
41,GONAULI,GANAULI,Shallow tubewell,Ground Water,DETHA KE GHAR KE PAS,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W ANDHRATHARI(0006682808)
42,GONAULI,GANAULI,Shallow tubewell,Ground Water,P/S West,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W ANDHRATHARI- 1(0006134907)
43,GONAULI,GANAULI,Shallow tubewell,Ground Water,P Pasw an Tol,HandPump,SUHTAIPNABLE NEW IN PLACE OF OLD T/W ANDHRATHARI- 1(0006134907)
44,GONAULI,GANAULI,Shallow tubewell,Ground Water,BECHAN PASWAN,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
45,GONAULI,GANAULI,Shallow tubewell,Ground Water,GAUD POKHAR BHINDAA,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
46,GONAULI,GANAULI,Shallow tubewell,Ground Water,PRAMILA DEVI,HandPump,SUSTABABLE ANDHRATHADI(0006500559)
47,GONAULI,PASWAN TOLA,Shallow tubewell,Ground Water,"Fejab Pasw an Ke Ghar Ke Sa,Me Sadal Kinare",HandPump,MLA QUOTA-ANDHRATHADI- 1(0005660745)
48,GONAULI,PASWAN TOLA,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001973581)
49,KOSBAGAUR,KASMA GAUR,Shallow tubewell,Ground Water,Ransw arup Mandal And Rambhadur Mandal Ke Ghar Ke Samne Bajrangw ali Mandir Ke Niket Ward No -10,HandPump,MLA QUOTA-ANDHRATHADI- 1(0005660745)
50,KOSBAGAUR,KASMA GAUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002678726)
51,PASTAN,PASTAN,Shallow tubewell,Ground Water,Saleem Nadayu Ghar And Pappu Singh Ki Dukan Ke Samne Sadak Se Utar Muslim Tol,HandPump,MLA QOUTA-ANDHRATHADI- 1(0006436760)
