Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AZ RAKBE SIMRI,AZRAKWE SIMRI,Shallow tubewell,Ground Water,School Me,HandPump,NC/PC RAJNAGAR- 2(0005706531)
2,AZ RAKBE SIMRI,AZRAKWE SIMRI,Shallow tubewell,Ground Water,Sadak Kinare,HandPump,NC/PC RAJNAGAR- 2(0005706531)
3,AZ RAKBE SIMRI,AZRAKWE SIMRI,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC RAJNAGAR- 2(0005706531)
4,AZ RAKBE SIMRI,AZRAKWE SIMRI,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001974973)
5,AZ RAKBE SIMRI,AZRAKWE SIMRI,Deep tubewell,Ground Water,Mandir Ke Pas,HandPump,Spot Sourse(0001968143)
6,KEWAN,KEWAN,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Sourse(0001968012)
7,KEWAN,KEWAN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974370)
8,MIRZAPUR,MIRZA PUR,Shallow tubewell,Ground Water,HAT PARISAR EAST SIDE ME,HandPump,MLA QOUTA- RAJNAGAR- 2(0006459626)
9,MIRZAPUR,MIRZA PUR,Shallow tubewell,Ground Water,Met Luche Pasw an And Santosh Pasw an Ke Ghar Ke Samne Sadak Kinare,HandPump,MLA QUOTA- RAJNAGAR- 6(0005673760)
10,MIRZAPUR,MIRZA PUR,Shallow tubewell,Ground Water,U.M.S MIRZAPUR MAHANTHIPATTI,HandPump,SCHOOL T/W- RAJNAGAR- 1(0006267808)
11,MIRZAPUR,MIRZA PUR,Shallow tubewell,Ground Water,P.S MIRZAPUR,HandPump,SCHOOL T/W- RAJNAGAR- 1(0006267808)
12,MIRZAPUR,MIRZA PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002672909)
13,MIRZAPUR,MIRZA PUR,Deep tubewell,Ground Water,Road Side Me,HandPump,Spot Sourse(0001968125)
14,MIRZAPUR,MIRZA PUR,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Sourse(0001974375)
15,SATGHARA,CHAN TOLA,Deep tubewell,Ground Water,School Me,HandPump,Hand Pump Scheme(0004690938)
16,SATGHARA,CHAN TOLA,Deep tubewell,Ground Water,Road Side Me,HandPump,Yakub Ansari(0000045495)
17,SATGHARA,PATRA TOLA,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Hand Pump Scheme(0004690938)
18,SATGHARA,PATRA TOLA,Deep tubewell,Ground Water,Road Side Me,HandPump,Jiw a Nand Jha(0000045488)
19,SATGHARA,RAJ NAGAR,Shallow tubewell,Ground Water,M.S RAJNAGAR GIRL,HandPump,SCHOOL T/W- RAJNAGAR- 1(0006267808)
20,SATGHARA,RAJ NAGAR,Deep tubewell,Ground Water,T/W 1,HandPump,Spot Source Scheme(0007086682)
