Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,ANDIPATTI,ANDIPATTI,Deep tubewell,Ground Water,School Me,HandPump,Hand Pump Scheme(0004690938)
2,ANDIPATTI,ANDIPATTI,Shallow tubewell,Ground Water,Sarvjanik Asthan Me,HandPump,NC/PC RAJNAGAR- 2(0005706531)
3,ANDIPATTI,ANDIPATTI,Shallow tubewell,Ground Water,Road Side,HandPump,NC/PC RAJNAGAR- 2(0005706531)
4,ANDIPATTI,ANDIPATTI,Deep tubewell,Ground Water,Road Side Me,HandPump,Parikchan Ram(0000045347)
5,ANDIPATTI,ANDIPATTI,Shallow tubewell,Ground Water,N;P.S SHIVIPATTI,HandPump,SCHOOL T/W- RAJNAGAR- 2(0006268132)
6,ANDIPATTI,ANDIPATTI,Shallow tubewell,Ground Water,P.S ANDIPATTI,HandPump,SCHOOL T/W- RAJNAGAR- 2(0006268132)
7,GAURI MERAN,GAURI MERAN,Shallow tubewell,Ground Water,A,HandPump,NC/PC RAJNAGAR(0006539802)
8,GAURI MERAN,GAURI MERAN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002672340)
9,GAURI MERAN,GAURI MERAN,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Spot Sourse(0001973953)
10,MADHUBANI TOL,MADHUBANI TOL,Deep tubewell,Ground Water,School Ke Pas,HandPump,Bilakchan Yadav(0000045333)
11,MADHUBANI TOL,MADHUBANI TOL,Deep tubewell,Ground Water,Sadak Kinare,HandPump,Dhukhran Sadai(0000045338)
12,MADHUBANI TOL,MADHUBANI TOL,Deep tubewell,Ground Water,Mandir Ke Pas Q,HandPump,Hand Pump Scheme(0004690938)
13,MADHUBANI TOL,MADHUBANI TOL,Shallow tubewell,Ground Water,Pavitra Saday And Rajendra Saday Ke Samne Sadak Kinare,HandPump,MLA QOUTA- RAJNAGAR- 1(0006436835)
14,MADHUBANI TOL,MADHUBANI TOL,Shallow tubewell,Ground Water,Ramjanki Mandir Parisar,HandPump,MLA QOUTA- RAJNAGAR- 1(0006436835)
15,MADHUBANI TOL,MADHUBANI TOL,Shallow tubewell,Ground Water,Bhagbati Sthan Parisar Me,HandPump,MLA QOUTA- RAJNAGAR- 1(0006436835)
16,MADHUBANI TOL,MADHUBANI TOL,Shallow tubewell,Ground Water,Samudayik Asthan Me,HandPump,NC/PC RAJNAGAR- 2(0005706531)
17,MADHUBANI TOL,MADHUBANI TOL,Deep tubewell,Ground Water,Shyam Ghar Ke Pas,HandPump,Raj Kumar Singh(0000045330)
18,MADHUBANI TOL,MADHUBANI TOL,Shallow tubewell,Ground Water,U.M.S MADHUBANI TOL,HandPump,SCHOOL T/W- RAJNAGAR- 2(0006268132)
19,MERAN,MERAN,Shallow tubewell,Ground Water,Aw cno 14,HandPump,Anganw ar Rajnagar Block 1(0005469883)
20,MERAN,MERAN,Shallow tubewell,Ground Water,Aw cno 11,HandPump,Anganw ar Rajnagar Block 1(0005469883)
21,MERAN,MERAN,Shallow tubewell,Ground Water,Aw cno 9,HandPump,Anganw ar Rajnagar Block 1(0005469883)
22,MERAN,MERAN,Shallow tubewell,Ground Water,Aw c-09,HandPump,ANGANWARDI T/W- RAJNAGAR(0006355467)
23,MERAN,MERAN,Shallow tubewell,Ground Water,P.S MERAN,HandPump,SCHOOL T/W- RAJNAGAR- 2(0006268132)
24,MERAN,MERAN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0001967048)
25,MERAN,MERAN,Deep tubewell,Ground Water,Non Mandatory,HandPump,Spot Source(0002672317)
26,MERAN,MERAN,Shallow tubewell,Ground Water,Mushari,HandPump,SUHTAIPMABLE NEW IN PLACE OF OLD RAJNAGAR(0005820477)
27,SIPIPATTI,SHIVIPATTI,Shallow tubewell,Ground Water,Aw c-14,HandPump,ANGANWARDI T/W- RAJNAGAR(0006355467)
28,SIPIPATTI,SHIVIPATTI,Shallow tubewell,Ground Water,Aw c-11,HandPump,ANGANWARDI T/W- RAJNAGAR(0006355467)
29,SIPIPATTI,SHIVIPATTI,Shallow tubewell,Ground Water,Mahendra Ram And Ramchandra Ke Bich Sadak Kinare Ram Tola,HandPump,MLA QOUTA- RAJNAGAR- 1(0006436835)
