Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAKWA,BAKWA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963561)
2,BAKWA,BAKWA TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543830)
3,BAKWA,BHINDARI,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963564)
4,BAKWA,MISHRA TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543831)
5,BHATTAHOLA BIRIT,BHATAHEA BRIT,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543832)
6,CHAKHANI,Chakhani110,Deep Tubew ell,Ground Water,Near 110 Centre,HandPump,BAGHA I(0007076622)
7,CHANDARAHA,ASARFI YADAV KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543833)
8,CHANDARAHA,BACHARAM KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543834)
9,CHANDARAHA,BAGICHA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543835)
10,CHANDARAHA,BINDYECHAL YADAV KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543836)
11,CHANDARAHA,CHANDRAHA TIWARI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543837)
12,CHANDARAHA,DHAPATRAM KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543838)
13,CHANDARAHA,DHUMAN YADAV KA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543839)
14,CHANDARAHA,DOM TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543840)
15,CHANDARAHA,DUSAD TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543841)
16,CHANDARAHA,JANK RAM KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543842)
17,CHANDARAHA,JHAPASI CHAUDHARY KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543843)
18,CHANDARAHA,KACHAHARI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543844)
19,CHANDARAHA,KAILAS YADAV KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543845)
20,CHANDARAHA,MUSHAR TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543846)
21,CHANDARAHA,NABKA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543847)
22,CHANDARAHA,NARAIN SUKLA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543848)
23,CHANDARAHA,SHERAMWA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543849)
24,CHANDARAHA,SUKDEO YADAV KA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543850)
25,CHANDRAPUR,CHANDRA PUR,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543851)
26,CHANDRAPUR,RETA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963575)
27,MATAHIA,MATAHIA EAST,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
28,MATAHIA,MATAHIA EAST,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
29,MATAHIA,MATAHIA EAST,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
30,MATAHIA,MATAHIA EAST,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543852)
31,MATAHIA,MATAHIA WEST,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543853)
,,,,,,,
32,MATHIYA,MATHIYA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
33,MATHIYA,MATHIYA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543854)
34,NAWGAMA,NAWGAMA,Deep Tubew ell,Ground Water,HARIJAN TOLLI,HandPump,BAGAHA SCHEME(0006560492)
35,NAWGAMA,NAWGAMA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543855)
36,RATWAL,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543856)
37,RATWAL,KUMARI TOLA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963579)
