Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AMBALIYA,AMBALIYA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544124)
2,AMBALIYA,AMBALIYA HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544125)
3,KHAIRATWA,KHAIRATWA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544126)
4,PIPARIYA,Amw aliya,Deep Tubew ell,Ground Water,Near Nala Side,HandPump,BAGHA I(0007076622)
5,PIPARIYA,CHHOTAKI PATTI,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001966555)
6,PIPARIYA,DUMARIYA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544127)
7,PIPARIYA,EAST PIPARIYA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001966568)
8,PIPARIYA,PIPARIYA NUNIYA TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544128)
9,PIPARIYA,WEST PIPARIYA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001966578)
10,SINGARI,BARADAHA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544129)
11,SINGARI,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544130)
12,SINGARI,NABAKA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544131)
13,SINGARI,SINGARI,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001966574)
14,SINGARI,SINGARI,Deep Tubew ell,Ground Water,Road Side,HandPump,BAGAHA SCHEME(0006560920)
15,SINGARI,SINGARI,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,BAGAHA SCHEME(0006560920)
