Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,Chandraha,Chandraha,Deep Tubew ell,Ground Water,Near P.C.C. Road,HandPump,BAGHA I(0007076622)
2,HARDINADWA,HARDI NADWA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
3,HARDINADWA,HARDI NADWA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
4,HARDINADWA,HARDI NADWA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Bagaha PC Habitation Scheme(0005537524)
5,HARDINADWA,HARDI NADWA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543882)
6,HARDINADWA,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543883)
7,HARDINADWA,MUSLIM TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543884)
8,HARDINADWA,NADWA,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963644)
9,HARDINADWA,NADWA,Deep Tubew ell,Ground Water,PASWAN TOLI,HandPump,BAGAHA SCHEME(0006560864)
10,HARDINADWA,NUNIYA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543885)
11,KAULAPUR KAULANCHI,KALAPUR KANLAUCHI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543886)
12,KAULAPUR KAULANCHI,MUSHAR TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543887)
13,KAULAPUR KAULANCHI,NUNIYA TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543888)
14,MURLI,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543889)
15,MURLI,MURLI,Shallow Tubew ell,Ground Water,,HandPump,Bagaha Scheme(0001963651)
16,MURLI,MURLI,Shallow Tubew ell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662379)
,,,,,Nc/Pc,,Nc/Pc Scheme For
17,PARTAPPUR,PRATAP PUR,Deep Tubew ell,round ater,Scheme For Bagaha Block,SPOT,Bagaha Block(0004543890)
18,PIPARA,PIPARA,Deep Tubew ell,round ater,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004543891)
