Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHARAULIA,BHARAULIYA - I,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544049)
2,BHARAULIA,BHARAULIYA - II,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544050)
3,DHAKDHAIA,DAKDHAIA URANW TOLI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544051)
4,DHAKDHAIA,DHAKDHAIA,Deep Tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966463)
5,DHAKDHAIA,DHAKDHAIA HARIJAN TOLI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544052)
6,KERAI BERAI,KERAI BERAI,Deep Tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966465)
7,MARJADPUR,BABAR HARIJAN TOLI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544053)
8,MARJADPUR,MARJADPUR,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544054)
9,MARJADPUR,SEMARHARI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544055)
10,MEDRAUL,MEDRAUL,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544056)
11,PAIKWALIYA,BAZAR TOLI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544057)
12,PAIKWALIYA,KHURKHURWA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544058)
13,PAIKWALIYA,KHURKHURWA HARIJAN TOLI,Deep Tubewell,Ground Water,,HandPump,Bagaha Scheme(0001966469)
14,PAIKWALIYA,PAIKWALIYA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544059)
15,PAIKWALIYA,PAIKWALIYA URANW TOLI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544060)
16,PAIKWALIYA,PAIKWALIYA-II,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544061)
17,PAIKWALIYA,SUBHAGH NAGAR,Deep Tubewell,Ground Water,Nc/Pc Scheme For Bagaha Block,SPOT,Nc/Pc Scheme For Bagaha Block(0004544062)
