Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BARWAT PASRAIN,BARWAT PASRAIN,Deep tubewell,Ground Water,Pasw an Tola,HandPump,Bettiah Scheme(0006545085)
2,BARWAT PASRAIN,BARWAT PASRAIN,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
3,BARWAT PASRAIN,HARIJAN TOLA,Deep tubewell,Ground Water,Pasw an Toli,HandPump,Bettiah Scheme(0006545473)
4,BARWAT PASRAIN,HARIJAN TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bettiah Scheme(0006545473)
5,BARWAT PASRAIN,HARIJAN TOLA,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
6,BARWAT PASRAIN,KHAL MUSHAHAR TOLA,Deep tubewell,Ground Water,Near Mushar Tola,HandPump,Bettiah Scheme(0007038427)
7,BARWAT PASRAIN,KHAL MUSHAHAR TOLA,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
8,TOLA LOHARPATTI,NONIYA TOLA,Deep tubewell,Ground Water,Near Main Road,HandPump,Bettiah Scheme(0007038427)
9,TOLA LOHARPATTI,NONIYA TOLA,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
10,TOLA LOHARPATTI,TOLA LOHARPATTI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bettiah Scheme(0007038427)
11,TOLA LOHARPATTI,TOLA LOHARPATTI,Deep tubewell,Ground Water,,HandPump,Hand Pump Bettiah(0004534379)
