Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Pachim Tola,HandPump,Majhauliya MMCY Scheme(0006500963)
2,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Purbi Tola,HandPump,Majhauliya MMCY Scheme(0006500963)
3,AUNHAR SHEKH,AHIR TOLI,Shallow tubewell,Ground Water,Near Mandir,HandPump,Majhauliya MMCY Scheme(0006500963)
4,AUNHAR SHEKH,AHIR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545544)
5,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Teliya Tola Shambhu Patel,HandPump,Majhauliya MMCY Scheme(0006500782)
6,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Lala Tola Ramdev Ram,HandPump,Majhauliya MMCY Scheme(0006500782)
7,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Bazar,HandPump,Majhauliya MMCY Sheme(0006500855)
8,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Pipal Chauk,HandPump,Majhauliya MMCY Sheme(0006500855)
9,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Near Mandir,HandPump,Majhauliya MMCY Sheme(0006500855)
10,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Bich Toli,HandPump,Majhauliya MMCY Sheme(0006500855)
11,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Uttari Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
12,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Dakhin Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
13,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Purbi Tola,HandPump,Majhauliya MMCY Sheme(0006500855)
14,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Pachim Toli,HandPump,Majhauliya MMCY Sheme(0006500855)
15,AUNHAR SHEKH,AHWAR SEKH,Shallow tubewell,Ground Water,Brahma Sthan,HandPump,Majhauliya MMCY Sheme(0006500855)
16,AUNHAR HEKH B,AHWAR SEKH,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545545)
17,AUNHAR SHEKH,BARI TOLA,Deep tubewell,Ground Water,Near P.C.C. Road,HandPump,Majhauliya Scheme(0007065609)
18,AUNHAR SHEKH,BARI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545546)
19,AUNHAR SHEKH,DOME TOLI,Deep tubewell,Ground Water,Near Dom Toli,HandPump,Majhauliya Scheme(0007065609)
20,AUNHAR SHEKH,DOME TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545547)
21,AUNHAR SHEKH,DUSADH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545548)
22,AUNHAR SHEKH,INDRA NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545549)
23,AUNHAR SHEKH,SUKHLAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545550)
24,AUNHAR SHEKH,TURHA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545551)
25,KUNRIA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545552)
26,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Turha Toli Brhma Sthan,HandPump,Majhauliya MMCY Scheme(0006500782)
27,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Khajurani Tola Madan Patel,HandPump,Majhauliya MMCY Scheme(0006500782)
28,KUNRIA,KUDIA,Shallow tubewell,Ground Water,Mohan Prasad,HandPump,Majhauliya MMCY Scheme(0006500782)
29,KUNRIA,KUDIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545553)
30,KUNRIA,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545554)
