Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHUARWA,BABU TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545562)
2,BAHUARWA,BAHASI TOLA,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
3,BAHUARWA,BAHASI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545563)
4,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550006)
5,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,NEAR TEMPLE,HandPump,MAJHAULIYA SCHEME(0006550006)
6,BAHUARWA,BAHUARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545564)
7,BAHUARWA,CHAIN PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545565)
8,BAHUARWA,CHMAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545566)
9,BAHUARWA,DUSADH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545567)
10,BAHUARWA,GHUSUK PUR,Deep tubewell,Ground Water,Near Pokhara,HandPump,Majhauliya Scheme(0007065609)
11,BAHUARWA,GHUSUK PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545568)
12,BAHUARWA,TATWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545569)
