Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BETIA DIH,BETTIAH DIH,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971190)
2,BETIA DIH,BETTIAH DIH,Deep tubewell,Ground Water,DHANGAD TOLI,HandPump,CHANPATIA SCHEME(0006573848)
3,BETIA DIH,BETTIAH DIH,Deep tubewell,Ground Water,NAHAR CHAWK,HandPump,CHANPATIA(0006573067)
4,BETIA DIH,BETWANIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544492)
5,BETIA DIH,KHAIRATIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544493)
6,BETIA DIH,RAI DHUNWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544494)
7,BETIA DIH,SHEKH DHURVA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544495)
8,BETIA DIH,SHRI NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544496)
9,BETIA DIH,SIHPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544497)
10,BETIA DIH,SOKAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544498)
11,GURWALIA BISWAS,BELDAR,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971193)
12,GURWALIA BISWAS,GURWALIA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971196)
13,GURWALIA BISWAS,GURWALIA,Deep tubewell,Ground Water,YADAV TOLLI,HandPump,CHANPATIA SCHEME(0006573111)
14,GURWALIA  BISWAS,KONWAHA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544499)
15,GURWALIA BISWAS,NAKDAHIA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004669449)
16,GURWALIA BISWAS,NAKDAHIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544500)
17,GURWALIA BISWAS,SIYAROSTI,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971200)
18,GURWALIA BISWAS BANDOBASTI,GURWANIA BADOBASI,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971210)
19,GURWALIA BISWAS BANDOBASTI,GURWANIA BADOBASI,Deep tubewell,Ground Water,NEAREST MANDIR,HandPump,CHANPATIA SCHEME(0006573182)
20,GURWALIA BISWAS BANDOBASTI,NAYA TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004769504)
21,GURWALIA BISWAS BANDOBASTI,NAYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544501)
