Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BANDARAHA ANDAR CHOUBE TOLA,BANDROHA ANDOR,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971291)
2,BANDARAHA ANDAR CHOUBE TOLA,GIDHAUNA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971296)
3,BANDARAHA ANDAR CHOUBE TOLA,HAJMA TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004742361)
4,BANDARAHA ANDAR CHOUBE TOLA,HAJMA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544519)
5,BISHUNPUR,BISHUNPUR,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971297)
6,BISHUNPUR,BISHUNPUR,Deep tubewell,Ground Water,NEAREST PIPAL,HandPump,CHANPATIA SCHEME(0006573447)
7,BISHUNPUR,BISHUNPUR,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004742373)
8,BISHUNPUR 1,BISHUNPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544520)
9,BISHUNPUR 1,GOSAI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544521)
10,BISHUNPUR 1,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544522)
11,BISHUNPUR 1,JHAKRAHI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544523)
12,BISHUNPUR 1,NUNIAWA TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012-13(0004742386)
13,BISHUNPUR 1,NUNIAWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544524)
14,JINA CHAP,JINA CHAP,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971303)
15,LAKHAURA NAZAMAT,BABU TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544525)
16,LAKHAURA NAZAMAT,CHHOTA LAKHURA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544526)
17,LAKHAURA NAZAMAT,DUBAULIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544527)
18,LAKHAURA NAZAMAT,LAKHURA NIGAMAT,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971305)
19,LAKHAURA NAZAMAT,MUSHARI,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971308)
20,MISRAULIA,MISHRAULIA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971316)
21,MISRAULIA,MISHRAULIA,Deep tubewell,Ground Water,MUSHAR TOLLI,HandPump,CHANPATIA SCHEME(0006574117)
22,MISRAULIA,MISHRAULIA,Deep tubewell,Ground Water,MUSHAR TOLLI,HandPump,CHANPATIA(0006573476)
23,PATKHAULIA,DAKHIN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544528)
24,PATKHAULIA,PATKAULIA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971318)
25,SISWANIA,SIWANIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544529)
