Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,KARAMPATTI,DHANGAR TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742908)
2,KARAMPATTI,DHANGAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544561)
3,KARAMPATTI,KARANPATTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544562)
4,KARAMPATTI,SUKLA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544563)
5,LAGUNAHA,BAURGANI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544564)
6,LAGUNAHA,DHOBI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544565)
7,LAGUNAHA,LAGUNAHA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980766)
8,LAGUNAHA,PANHARIA TOLA,Deep tubewell,Ground Water,Virendra Kushw aha,HandPump,Chanpatia Scheme(0003904094)
9,LAGUNAHA,PARTI TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980771)
10,LAGUNAHA,POKHARA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980777)
11,LAGUNAHA,PURVI LAGUNAHA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980799)
12,POKHARIA KHARAG,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544566)
13,POKHARIA KHARAG,HARIJA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980806)
14,POKHARIA KHARAG,JAMUNIA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544567)
15,POKHARIA KHARAG,MUSHARI TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980811)
16,POKHARIA KHARAG,NONIA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980815)
17,POKHARIA KHARAG,PANDAY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544568)
18,POKHARIA KHARAG,PAWAHIA TOLA,Shallow tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980818)
19,POKHARIA KHARAG,POKHARIA KHARG,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742900)
20,POKHARIA KHARAG,POKHARIA KHARG,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544569)
