Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,EKHARIA,EKHARIA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742799)
2,EKHARIA,EKHARIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544586)
3,MUSAHRI,BHAGARWA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742855)
4,MUSAHRI,BHAGARWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544587)
5,MUSAHRI,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544588)
6,MUSAHRI,MUSHARI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980892)
7,MUSAHRI,MUSHARI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004669583)
8,MUSAHRI,PATKHAULI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544589)
9,SABIYA KALAN,PURVI TOLA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742859)
10,SABIYA KALAN,PURVI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544590)
11,SABIYA KALAN,SHABYA KOLA,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980899)
12,SIRSIA,AHIR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544591)
13,SIRSIA,BANGHI KE TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980914)
14,SIRSIA,BARHI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544592)
15,SIRSIA,KOHAR TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980916)
16,SIRSIA,MOTI TOLI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980935)
17,SIRSIA,SIRISIYA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004742878)
18,SIRSIA,SIRISIYA,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544593)
19,SIRSIA,SIRISIYA MOUJE,Deep tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544594)
20,SIRSIA,SIRISIYA PURBI,Deep tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001980941)
