Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAITHANIA,BATHANIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545595)
2,BAITHANIA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545596)
3,BAITHANIA,SARPANCH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545597)
4,BHANA CHAK,BHANACHAK,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550525)
5,BHANA CHAK,BHANACHAK,Deep tubewell,Ground Water,NEAR TEMPLE,HandPump,MAJHAULIYA SCHEME(0006550525)
6,BHANA CHAK,BHANACHAK,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545598)
7,BHANA CHAK,BHANACHAK PURWAR,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001957863)
8,BHANA CHAK,BHANACHAK PURWAR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550592)
9,BHANA CHAK,BHANACHAK PURWAR,Deep tubewell,Ground Water,CHAUK KE PAS,HandPump,MAJHAULIYA SCHEME(0006550592)
10,BHANA CHAK,BHANACHAK PURWAR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
