Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004100997)
2,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551673)
3,JAWKATIA,AHIR TOLI,Deep tubewell,Ground Water,MOR PAR,HandPump,MAJHAULIYA SCHEME(0006551673)
4,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551775)
5,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,MOR PAR,HandPump,MAJHAULIYA SCHEME(0006551775)
6,JAWKATIA,BIN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545640)
7,JAWKATIA,CHAMAR TOLI,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004101018)
8,JAWKATIA,CHAMAR TOLI,Deep tubewell,Ground Water,Near Pokhara,HandPump,Majhauliya Scheme(0007065609)
9,JAWKATIA,INDRA NAGAR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006551852)
10,JAWKATIA,INDRA NAGAR,Deep tubewell,Ground Water,ROAD SIDE,HandPump,MAJHAULIYA SCHEME(0006551852)
11,JAWKATIA,INDRA NAGAR,Deep tubewell,Ground Water,Near Main Road Side,HandPump,Majhauliya Scheme(0007065609)
12,JAWKATIA,INDRA NAGAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545641)
13,JAWKATIA,JAWAKATIA,Shallow tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958131)
14,JAWKATIA,JAWAKATIA,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004093283)
15,JAWKATIA,JAWAKATIA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006552005)
16,JAWKATIA,JAWAKATIA,Deep tubewell,Ground Water,NEAR TEMPLE,HandPump,MAJHAULIYA SCHEME(0006552005)
17,JAWKATIA,JAWOKATIA UTTAR,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006552851)
18,JAWKATIA,JAWOKATIA UTTAR,Deep tubewell,Ground Water,NEAR PIPAL,HandPump,MAJHAULIYA SCHEME(0006552851)
19,JAWKATIA,JAWOKATIA UTTAR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545642)
