Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BEKHABRA,BEKHAWARA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004703657)
2,BEKHABRA,BEKHAWARA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545697)
3,BEKHABRA,BIN TOLI,Deep tubewell,Ground Water,Inside Of Bin Toli,HandPump,Majhauliya Scheme(0007065609)
4,BEKHABRA,BIN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545698)
5,BEKHABRA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545699)
6,MATHIA BIRIT,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545700)
7,MATHIA BIRIT,MATHIA BIRIT,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545701)
8,MATHIA BIRIT BANDOBASTI,KURMI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545702)
9,MATHIA BIRIT BANDOBASTI,MATHIA BIRIT BANDOBASTI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545703)
10,NAUTAN KHURD,GIRI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545704)
11,NAUTAN KHURD,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545705)
12,NAUTAN KHURD,NAUTAN KHURD,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958168)
13,NAUTAN KHURD,NAUTAN KHURD,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006553440)
14,NAUTAN KHURD,NAUTAN KHURD,Deep tubewell,Ground Water,NEAR TEMPLE,HandPump,MAJHAULIYA SCHEME(0006553440)
15,SEMRA BIRIT,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545706)
16,SEMRA BIRIT,SEMRA BRIT,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958181)
17,SEMRA BIRIT,SEMRA BRIT,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
18,SIRKOHIYA,SIROKAHIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545707)
19,SIRKOHIYA,YADAV TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545708)
