Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BANKAT,BANKAT,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544448)
2,BANKAT,HARIJAN TOLA,Shallow Tubewell,Ground Water,Inside Habitation,HandPump,COVERAGE IN PC TOLA IN 2012+//0Awv/9AK0- 13(0004746062)
3,BANKAT,HARIJAN TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544449)
4,BANKAT,KHALIL MIYA TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544450)
5,BANKAT,RAILWAY LEHI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544451)
6,BANKAT,RICE MILL,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544452)
7,PURAINA CHOUBE,BANKURVA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544453)
8,PURAINA CHOUBE,JALILMIYA TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544454)
9,PURAINA CHOUBE,PURAINA CHOUBE,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971066)
10,PURAINA GOSAIN,AHIR TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971069)
11,PURAINA GOSAIN,DHARIHA TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971076)
12,PURAINA GOSAIN,JULAHA TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971085)
13,PURAINA GOSAIN,MISHAULI,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971098)
14,PURAINA GOSAIN,NUNIA TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971117)
15,PURAINA GOSAIN,PASI TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971123)
17,PURAINA GOSAIN,TURHI TOLA,Shallow Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971127)
