Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHUHARI,CHUHARI,Deep Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971160)
2,CHUHARI,CHUHARI,Deep Tubewell,Ground Water,ROAD SIDE,HandPump,CHANPATIA SCHEME(0006573818)
3,CHUHARI,CHUHARI,Deep Tubewell,Ground Water,CHOWK SIDE,HandPump,CHANPATIA(0006572976)
4,CHUHARI,CHUHARI,Deep Tubewell,Ground Water,NEAREST PIPAL,HandPump,CHANPATIYA(0006572933)
5,CHUHARI,EKRAHIA TOLA,Deep Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971165)
6,CHUHARI,KHARWA TOLA,Shallow Tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012+//0Awv/9AK0-13(0004746172)
7,CHUHARI,KHARWA TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544476)
8,CHUHARI,TURHA TOLA,Deep Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971170)
9,JIACHHA TOLA,JICHHA TOLA,Deep Tubewell,Ground Water,,HandPump,Chanpatia Scheme(0001971174)
10,JIACHHA TOLA,PATHAK PURI,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544477)
11,LACHHU CHHAPAR ANDAR BHAISAHI,HARIJAN TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544478)
12,LACHHU CHHAPAR ANDAR BHAISAHI,LACHHUCHHAPAR,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544479)
13,LACHHU CHHAPAR ANDAR BHAISAHI,MAIN TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544480)
14,LACHHU CHHAPAR ANDAR BHAISAHI,PRIRTI TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544481)
15,MISKAR TOLA,MISKAR TOLA,Deep Tubewell,Ground Water,Nc/Pc Scheme For Chanpatia Block,SPOT,Nc/Pc Scheme For Chanpatia Block(0004544482)
