Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BISAMBHARPUR,BISHAMBHAR PUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545605)
2,BISAMBHARPUR,CHAMAR TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
3,BISAMBHARPUR,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545606)
4,BISAMBHARPUR,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545607)
5,CHANAINBANDH,CAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545608)
6,CHANAINBANDH,CHANIN BANDH,Shallow  tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001957908)
7,CHANAINBANDH,DHANUK TOLI,Shallow  tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004662618)
8,CHANAINBANDH,DHANUK TOLI,Shallow  tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001957924)
9,CHANAINBANDH,MUSHHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545609)
10,KHUTIA INDU,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545610)
11,KHUTIA INDU,KHUTIA INDU,Shallow  tubewell,Ground Water,,HandPump,Majhauliya Scheme(0001958077)
12,KHUTIA INDU,YADAV TOLI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Majhauliya Scheme(0007065609)
13,KHUTIA INDU,YADAV TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545611)
14,MULUKA TOLA,MALUKA TOLA,Ground Collection(Community),Rain Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004703617)
15,MULUKA TOLA,MALUKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545612)
16,MULUKA TOLA,SAWO TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545613)
