Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHALUHI,BHALUHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545616)
2,BHALUHI,KURMI TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545617)
3,DHOKRAHA,DHOKRAHA,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004706425)
4,DHOKRAHA,DHOKRAHA,Deep tubewell,Ground Water,,HandPump,Majhauliya Scheme(0004093292)
5,DHOKRAHA,DHOKRAHA,Deep tubewell,Ground Water,Near Maszid,HandPump,Majhauliya Scheme(0007065609)
6,DHOKRAHA,HARIJAN TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,MAJHAULIYA SCHEME(0006550839)
7,DHOKRAHA,HARIJAN TOLI,Deep tubewell,Ground Water,NEAR CHAUCK,HandPump,MAJHAULIYA SCHEME(0006550839)
8,DHOKRAHA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545618)
9,DHOKRAHA,LOHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545619)
10,DHOKRAHA,MIYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545620)
11,DUDHA CHATURI,CHAMPA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545621)
12,DUDHA CHATURI,DUDHA CHATURI,Deep tubewell,Ground Water,Nc/Pc Scheme For Majhaulia Block,SPOT,Nc/Pc Scheme For Majhaulia Block(0004545622)
