Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGAHI,AHIR TOLI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961100)
2,BAGAHI,BAGHI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961109)
3,BAGAHI,GOBERDHANI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961115)
4,BAGAHI,HERPURWA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961119)
5,BAGAHI,KATHERWA TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961124)
6,BAGAHI,LALA TOLI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961130)
7,BAGAHI,NUNIYA TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961135)
8,MANOPATTI,AHIR TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544854)
9,MANOPATTI,MANOPATTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544855)
10,PURAINA,BRAMASTHAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544856)
11,PURAINA,PURAINA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544857)
12,PURAINA,SAHI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544858)
13,RAMPUR BAHELIYA,DUKHNA TOLLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544859)
14,RAMPUR BAHELIYA,HER PURWA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544860)
15,RAMPUR BAHELIYA,KOIRI TOLLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544861)
16,RAMPUR BAHELIYA,LOHARWA TOLLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544862)
17,RAMPUR BAHELIYA,RAMPURBAHELIA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544863)
