Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAHUARWA,AHIR TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961140)
2,BAHUARWA,BAHUAERWA,Shallow Tubew ell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004732352)
3,BAHUARWA,BAHUAERWA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544864)
4,BAHUARWA,BIN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544865)
5,BAHUARWA,DUBEY TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544866)
6,GORA,GORA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961155)
7,GORA,JHPSI RAUT,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544867)
8,GORA,MUSHER TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544868)
9,GORA,PAKRIHAR,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961158)
10,MISRAULIYA,GAITA TOLA,Shallow Tubew ell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004732370)
11,MISRAULIYA,GAITA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544869)
12,MISRAULIYA,M. BAZAR,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544870)
13,MISRAULIYA,M. CHAUK,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961164)
14,MISRAULIYA,MISRAULI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544871)
