Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BHARTHAPATTI,AHIR TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544926)
2,BHARTHAPATTI,BHARTA PATTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544927)
3,BHARTHAPATTI,BIN TOLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544928)
4,DHARHWA,BHERIHER TOLI,Shallow Tubew ell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004666144)
5,DHARHWA,BHERIHER TOLI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961310)
6,DHARHWA,CHAMAR TOLI,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961313)
7,DHARHWA,DHARWA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961324)
8,DHARHWA,DHARWA,Deep Tubew ell,Ground Water,Road Side,HandPump,Yogapatti Scheme(0006553506)
9,DHARHWA,DHARWA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Yogapatti Scheme(0006553506)
10,DHARHWA,KORI TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961331)
11,DHARHWA,MUSHER TOLLI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544929)
12,DHARHWA,NAYA TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961339)
13,GARDAHIA,GERDAHIA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544930)
14,HARIHARPUR,HERIHERPUR,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544931)
15,PIPARPANTI,LOHAR PATTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544932)
16,PIPARPANTI,PIPERPANTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544933)
17,PIPARPANTI,TERI PATTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544934)
