Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BELBANWA,AHIR TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961514)
2,BELBANWA,BELBANWA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961517)
3,BELBANWA,HARIZAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544990)
4,DHONRHWALIA,DHORWALIA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961519)
5,MACHHAR GANW,DEWAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544991)
6,MACHHAR GANW,DHUBWALIA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961521)
7,MACHHAR GANW,DIH TOLA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961524)
8,MACHHAR GANW,KARKHANA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544992)
9,MACHHAR GANW,MACHHER GAWAN,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961527)
10,MACHHAR GANW,MACHHER GAWAN,Deep Tubew ell,Ground Water,Near School,PWS,Machhargaw an PWS Scheme(0006510299)
11,MACHHAR GANW,MACHHER GAWAN,Deep Tubew ell,Ground Water,Road Side,HandPump,Yogapatti Scheme(0006553610)
12,MACHHAR GANW,MACHHER GAWAN,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Yogapatti Scheme(0006553610)
13,MACHHAR GANW,THUTRAH TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544993)
14,MATKOTA,BARAT TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544994)
15,MATKOTA,BISHUN PURWA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544995)
16,MATKOTA,M. HARIZAN C,Shallow Tubew ell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004733035)
17,MATKOTA,M. HARIZAN C,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544996)
18,MATKOTA,MATKOTA,Shallow Tubew ell,Ground Water,,HandPump,Jogapatti Scheme(0001961528)
19,MATKOTA,MIYA PATTI,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Jogapatti Block,SPOT,Nc/Pc Scheme For Jogapatti Block(0004544997)
