Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGHLOCHNA,BAGHLOCHNA,Deep Tubew ell,Ground Water,,HandPump,Lauria Scheme(0001964886)
2,BAGHLOCHNA,BAGHLOCHNA,Deep Tubew ell,Ground Water,,HandPump,Lauriya Scheme(0004097017)
3,BAGHLOCHNA,HARIJAN TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Lauria Block,SPOT,Nc/Pc Scheme For Lauria Block(0004545149)
4,BAGHLOCHNA,NUNIA TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Lauria Block,SPOT,Nc/Pc Scheme For Lauria Block(0004545150)
5,GOBRAURA,AHIR TOLA,Deep Tubew ell,Ground Water,,HandPump,Lauria Scheme(0001964890)
6,GOBRAURA,AHIR TOLA,Deep Tubew ell,Ground Water,,HandPump,Lauriya Scheme(0004097022)
7,GOBRAURA,AHIR TOLA,Deep Tubew ell,Ground Water,"Near Braham Sthan, Near School, Uttarw ari Tola",PWS,Matiyariya Gobraura PWS Scheme(0006511382)
8,GOBRAURA,BIRTI TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Lauria Block,SPOT,Nc/Pc Scheme For Lauria Block(0004545151)
9,GOBRAURA,DUBEY TOLA,Deep Tubew ell,Ground Water,Near Pokhara,HandPump,Lauriya Scheme(0007076733)
10,GOBRAURA,DUBEY TOLA,Deep Tubew ell,Ground Water,Nc/Pc Scheme For Lauria Block,SPOT,Nc/Pc Scheme For Lauria Block(0004545152)
11,GOBRAURA,GOBRAURA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Lauria (Bagahi- Basw aria) Sport Source Scheme(0005677626)
12,GOBRAURA,GOBRAURA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Lauria (Bagahi- Basw aria) Sport Source Scheme(0005677626)
13,GOBRAURA,GOBRAURA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Lauria (Bagahi- Basw aria) Sport Source Scheme(0005677626)
14,GOBRAURA,GOBRAURA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Lauria Scheme(0001964914)
15,GOBRAURA,GOBRAURA,Deep Tubew ell,Ground Water,Inside Habitation,HandPump,Matiyariya Gobraura PWS Scheme(0006511382)
