Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAITAPUR,BAITAPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545847)
2,BAITAPUR,BAITAPUR,Deep tubewell,Ground Water,P.S. BAITAPUR,HandPump,School Scheme(0006573204)
3,BAITAPUR,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545848)
4,BAITAPUR,LOHAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545849)
5,BAITAPUR,NAYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545850)
6,BAITAPUR,ROY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545851)
7,BELWA,BELWA,Deep tubewell,Ground Water,Near Pokhar,HandPump,Narkatiaganj Scheme(0001970371)
8,BELWA,BELWA,Deep tubewell,Ground Water,Road Side,HandPump,Narkatiganj Scheme(0004088671)
9,BELWA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545852)
10,BELWA,MASZID TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004088685)
11,BELWA,PURAB TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970383)
12,BELWA,PURAB TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004088688)
13,BELWA,SHEKH TOLA,Deep tubewell,Ground Water,Road Side,HandPump,Narkatiaganj Scheme(0001970393)
14,BELWA,SONAR TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970403)
15,BHERIHARWA,BHERIHARWA,Deep tubewell,Ground Water,Near Braham Sthan,HandPump,Narkatiaganj Scheme(0001970414)
16,BHERIHARWA,BHERIHARWA,Deep tubewell,Ground Water,M.S. BHERIHARWA PROONAT,HandPump,Narkatiganj Scheme(0003264349)
17,BHERIHARWA,BHERIHARWA,Deep tubewell,Ground Water,M.S. BHERIHARWA PROONAT,HandPump,Narkatiya Ganj(0003008134)
18,BHERIHARWA,DAKHIN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545853)
19,BHERIHARWA,DUBEY TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545854)
20,BHERIHARWA,DUSADH TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545855)
21,BHERIHARWA,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545856)
22,BHERIHARWA,J. RAM KA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545857)
23,BHERIHARWA,MOHAMAD TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545858)
