Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DURGAULIA,CHHOTI DHURGAWLIA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087362)
2,DURGAULIA,DHURGAWALIA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970569)
3,DURGAULIA,DHURGAWALIA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087376)
4,DURGAULIA,PORAB TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545981)
5,GOKHULA,BRINDABAN,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087627)
6,GOKHULA,GOKHULA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970580)
7,GOKHULA,GOKHULA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087578)
8,GOKHULA,GOKHULA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NARKATIYAGANJ SCHEME(0006571315)
9,GOKHULA,GOKHULA,Deep tubewell,Ground Water,NEAR BARGAD,HandPump,NARKATIYAGANJ SCHEME(0006571315)
10,GOKHULA,GOKHULA,Deep tubewell,Ground Water,M.S. GOKHULA KANYA,HandPump,School Scheme(0006573297)
11,GOKHULA,HARIJAN TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004769570)
12,GOKHULA,HARIJAN TOLI,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087550)
13,GOKHULA,KAISTHA TOLI,Deep tubewell,Ground Water,Near Banarsi Raut,HandPump,Mainatanr And Narkatiaganj Spot Source Scheme(0005681236)
14,GOKHULA,KAISTHA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545982)
15,KHAIRWA,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545983)
16,KHAIRWA,KHAIWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545984)
17,MATHURA,DOM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545985)
18,MATHURA,GANDHI TOLI,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087420)
19,MATHURA,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545986)
20,MATHURA,MAHURA,Deep tubewell,Ground Water,M.S. MATHURA,HandPump,Narkatiganj Scheme(0003264169)
21,MATHURA,MAHURA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004087389)
22,MATHURA,MAHURA,Deep tubewell,Ground Water,M.S. MATHURA,HandPump,Narkatiya Ganj(0003008069)
23,MATHURA,MAHURA,Deep tubewell,Ground Water,M.S. MATHURA,HandPump,School Scheme(0006573319)
24,MATHURA,PASCHIM TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545987)
25,MATHURA,PURAB TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545988)
26,SIARAHI,CHOTA RAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545989)
27,SIARAHI,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545990)
28,SIARAHI,SIYARAHI,Deep tubewell,Ground Water,"Ward-12, Near Kamlesh Kumar",HandPump,Narkatiyaganj Scheme(0007063949)
29,SIARAHI,SIYARAHI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004545991)
