Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,DHOBAHA,BHASTHARWA TOLI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970715)
2,DHOBAHA,BHASTHARWA TOLI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NARKATIYAGANJ SCHEME(0006571334)
3,DHOBAHA,BHASTHARWA TOLI,Deep tubewell,Ground Water,MOR PAR,HandPump,NARKATIYAGANJ SCHEME(0006571334)
4,DHOBAHA,DHOBAHA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970763)
5,DHOBAHA,DHOBAHA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NARKATIYAGANJ SCHEME(0006571328)
6,DHOBAHA,DHOBAHA,Deep tubewell,Ground Water,NEAR DURGA MANDIR,HandPump,NARKATIYAGANJ SCHEME(0006571328)
7,DHOBAHA,H. TOLI,Deep tubewell,Ground Water,"Ward- 9, Near Nathuni Gaddi, Public Place",HandPump,Narkatiyaganj Scheme(0007063949)
8,DHOBAHA,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546041)
9,DHOBAHA,MID VILLAGE,Deep tubewell,Ground Water,"Ward-9, Near Adalat Gaddi, Public Place",HandPump,Narkatiyaganj Scheme(0007063949)
10,DHOBAHA,MID VILLAGE,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546042)
11,DHOBAHA,NAYA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546043)
12,DHOBAHA,UTTAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546044)
13,KESARIA,AMWA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546045)
14,KESARIA,HARIJAN TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546046)
15,KESARIA,KALWAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546047)
16,KESARIA,KESARIA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970767)
17,KESARIA,KESARIA,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NARKATIYAGANJ SCHEME(0006571342)
18,KESARIA,KESARIA,Deep tubewell,Ground Water,NEAR PIPAL,HandPump,NARKATIYAGANJ SCHEME(0006571342)
19,KESARIA,MUSHAR TOLI,Shallow tubewell,Ground Water,,HandPump,COVERAGE IN PC TOLA IN 2012- 13(0004769581)
20,KESARIA,MUSHAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546048)
21,TILOKWA,DAKHIN TOLIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546049)
22,TILOKWA,PURB TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546050)
23,TILOKWA,SEKH TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546051)
24,TILOKWA,TRIKOLWA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546052)
