Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,CHANPATIA,BASTA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546053)
2,CHANPATIA,CHANPATIA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546054)
3,KUKURHA,KUKURA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970774)
4,KUKURHA,KUKURA,Deep tubewell,Ground Water,M.S. KUKURAH BAIRIYA,HandPump,Narkatiganj Scheme(0003264116)
5,KUKURHA,KUKURA,Deep tubewell,Ground Water,M.S. KUKURAH BAIRIYA,HandPump,Narkatiya Ganj(0003008019)
6,KUKURHA,KUKURA,Deep tubewell,Ground Water,"Ward- 3, Near Prahalad Mahto",HandPump,Narkatiyaganj Scheme(0007063949)
7,KUKURHA,KUKURA,Deep tubewell,Ground Water,M.S. KUKURAH BAIRIYA,HandPump,School Scheme(0006573387)
8,KUKURHA,NADIA PARKA TOLA,Deep tubewell,Ground Water,"Ward- 3, Near Mandir Chanpatia Centre",HandPump,Narkatiyaganj Scheme(0007063949)
9,KUKURHA,NADIA PARKA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546055)
10,KUKURHA,NAYA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546056)
11,KUKURHA,UTTAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546057)
12,MURLI,BICHLA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546058)
13,MURLI,H. TOLI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970778)
14,MURLI,MURLI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970786)
15,MURLI,UTTAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546059)
16,PARARIA,BICHALA TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546060)
17,PARARIA,H. TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546061)
18,PARARIA,PARARIA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970791)
19,PARARIA,UTTAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546062)
20,PARARIA,YADAV TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546063)
