Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,HICHHOPAL,HICHHOBAL,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546247)
2,HICHHOPAL,HICHHOBAL,Deep tubewell,Ground Water,M.S. SATHI,HandPump,School Scheme(0006574004)
3,KATAHRI,HARIJAN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546248)
4,KATAHRI,KATHARI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970958)
5,KATAHRI,KATHARI,Deep tubewell,Ground Water,M.S. KATAHRI,HandPump,Narkatiganj Scheme(0003264152)
6,KATAHRI,KATHARI,Deep tubewell,Ground Water,M.S. KATAHRI,HandPump,Narkatiya Ganj(0003008041)
7,KATAHRI,KATHARI,Deep tubewell,Ground Water,M.S. KATAHRI,HandPump,School Scheme(0006574028)
8,KATAHRI,PASCHIM TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546249)
9,KATAHRI,PURAB TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970961)
10,KATAHRI,RAJPUT TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546250)
11,KATAHRI,UTTAR TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970963)
12,SEMRI,BAZAR TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970966)
13,SEMRI,BAZAR TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004088553)
14,SEMRI,BAZAR TOLA,Deep tubewell,Ground Water,"Ward-7, Near- Surya Kumar Sharma",HandPump,Narkatiyaganj Scheme(0007063949)
15,SEMRI,MISHRA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546251)
16,SEMRI,NAYA TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970970)
17,SEMRI,NAYA TOLA,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004088565)
18,SEMRI,NETUA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Narkatiganj Block,SPOT,Nc/Pc Scheme For Narkatiganj Block(0004546252)
19,SEMRI,SEMARI,Deep tubewell,Ground Water,,HandPump,Narkatiaganj Scheme(0001970973)
20,SEMRI,SEMARI,Deep tubewell,Ground Water,,HandPump,Narkatiganj Scheme(0004088546)
21,SEMRI,SEMARI,Deep tubewell,Ground Water,INSIDE HABITATION,HandPump,NARKATIYAGANJ SCHEME(0006571762)
22,SEMRI,SEMARI,Deep tubewell,Ground Water,HARIJAN TOLI,HandPump,NARKATIYAGANJ SCHEME(0006571762)
23,SEMRI,SEMARI,Deep tubewell,Ground Water,"Ward-7, Near Ramashankar Mahto",HandPump,Narkatiyaganj Scheme(0007063949)
