Sno.,Village Name,Habitation Name,Source Type,Source Type Category Location,Location,Type,Scheme Name
1,BAGHAMBARPUR,AHIR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544191)
2,BAGHAMBARPUR,AHIR TOLA1,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544192)
3,BAGHAMBARPUR,BAGAMBERPUR,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bairiya Scheme(0006545954)
4,BAGHAMBARPUR,BAGAMBERPUR,Deep tubewell,Ground Water,Road Side,HandPump,Bairiya Scheme(0006545954)
5,BAGHAMBARPUR,BAGAMBERPUR,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544193)
6,BAGHAMBARPUR,BAGHI,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959159)
7,BAGHAMBARPUR,BAGHI,Deep tubewell,Ground Water,Inside Habitation,HandPump,Bairiya Scheme(0006545972)
8,BAGHAMBARPUR,BAGHI,Deep tubewell,Ground Water,Near Harijan Tola,HandPump,Bairiya Scheme(0006545972)
9,BAGHAMBARPUR,BARWA TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544194)
10,BAGHAMBARPUR,BIN TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544195)
11,BAGHAMBARPUR,CHAMAR TOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544196)
12,BAGHAMBARPUR,GADAYANI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544197)
13,BAGHAMBARPUR,KORIE TOLA,Deep tubewell,Ground Water,,HandPump,Bairia PC Habitation Scheme(0005537639)
14,BAGHAMBARPUR,KORIE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544198)
15,BAGHAMBARPUR,MUSHARI TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544199)
16,BAGHAMBARPUR,MUSLIM TOLA,Deep tubewell,Ground Water,,HandPump,Bairia PC Habitation Scheme(0005537639)
17,BAGHAMBARPUR,MUSLIM TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544200)
18,BAGHAMBARPUR,SONAR TOLA,Deep tubewell,Ground Water,,HandPump,Bairia PC Habitation Scheme(0005537639)
19,BAGHAMBARPUR,SONAR TOLA,Deep tubewell,Ground Water,,HandPump,Bairia PC Habitation Scheme(0005537639)
20,BAGHAMBARPUR,SONAR TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544201)
21,BAGHAMBARPUR,TORHA TOLA,Shallow tubewell,Ground Water,,HandPump,Bairia Scheme(0001959165)
22,NIMUIA,DAK BABU KE TOLA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544202)
23,NIMUIA,HARZANTOLI,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544203)
24,NIMUIA,NEMUEA,Deep tubewell,Ground Water,Nc/Pc Scheme For Bairia Block,SPOT,Nc/Pc Scheme For Bairia Block(0004544204)
